Filename,i_index,k_index,Porosity,Porosity_pct,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Radius_bin_1,VolFrac_bin_1,Radius_bin_2,VolFrac_bin_2,Radius_bin_3,VolFrac_bin_3,Radius_bin_4,VolFrac_bin_4,Radius_bin_5,VolFrac_bin_5,Radius_bin_6,VolFrac_bin_6,Radius_bin_7,VolFrac_bin_7,Radius_bin_8,VolFrac_bin_8,Radius_bin_9,VolFrac_bin_9,Radius_bin_10,VolFrac_bin_10,Radius_bin_11,VolFrac_bin_11,Radius_bin_12,VolFrac_bin_12,Radius_bin_13,VolFrac_bin_13,Radius_bin_14,VolFrac_bin_14,Radius_bin_15,VolFrac_bin_15,Radius_bin_16,VolFrac_bin_16,Radius_bin_17,VolFrac_bin_17,Radius_bin_18,VolFrac_bin_18,Radius_bin_19,VolFrac_bin_19,Radius_bin_20,VolFrac_bin_20
CELL_i00002_k01_seed1563890638_void_mask.tif,2,1,0.166893,16.689,0.02200073250823962,7.964436145690225e-05,0.046076584769790103,-0.7085752121517586,0.005,0.0109,0.015,0.0164,0.0196,0.0216,0.0254,0.0272,0.0308,0.0349,0.0447,0.0059930340051651005,0.049916638330190104,0.007979102015495301,0.006185840350044115,0.0099651700258255,0.046177721387773325,0.011951238036155701,0.08438477889309484,0.013937306046485902,0.005606128468347281,0.015923374056816104,0.14223538099953112,0.0179094420671463,0.028265073632396758,0.019895510077476503,0.11416579160631121,0.021881578087806705,0.061590268030612384,0.023867646098136904,0.02713186423057853,0.025853714108467103,0.12277159202064793,0.027839782118797306,0.07131654515685924,0.029825850129127505,0.04048546001710674,0.031811918139457704,0.07914040861448861,0.033797986149787906,0.018132848392610246,0.03578405416011811,0.06258042191640464,0.037770122170448304,0.015023825109763276,0.0397561901807785,0.015279976871443274,0.0417422581911087,0.006235273146157799,0.043728326201438905,0.003374162825638544
CELL_i00003_k01_seed643126122_void_mask.tif,3,1,0.168211,16.821,0.02487242686999114,0.00012059869967995305,0.037251830594123285,-0.7691666803573183,0.005,0.0107,0.0153,0.0194,0.0216,0.0253,0.0274,0.0316,0.0353,0.0395,0.0539,0.006221291184425354,0.06635629305412093,0.008663873553276063,0.00024968603467366183,0.01110645592212677,0.1062414077536431,0.01354903829097748,0.004028416648708098,0.01599162065982819,0.1069926951972594,0.018434203028678896,0.018296190058631635,0.0208767853975296,0.12591235722937674,0.023319367766380314,0.028663362289977633,0.02576195013523102,0.13678781888845126,0.028204532504081732,0.03889528791920873,0.030647114872932438,0.07502916719303851,0.03308969724178314,0.054849928289576355,0.03553227961063385,0.09630598429058698,0.03797486197948456,0.03664588426755048,0.04041744434833527,0.04261456947736849,0.04286002671718597,0.029888755954194504,0.045302609086036685,0.019965222302313308,0.04774519145488739,0.007483893021423954,0.0501877738237381,0.0005469313140470689,0.05263035619258881,0.004246148815849119
CELL_i00004_k01_seed1805651843_void_mask.tif,4,1,0.171889,17.189,0.022203639468203296,7.238221815058416e-05,0.08736392386269218,-0.5169256976673058,0.005,0.0113,0.0152,0.0166,0.0196,0.0216,0.0251,0.0268,0.0299,0.0331,0.0442,0.005978970050811768,0.036336650151660266,0.007936910152435302,0.0035960681049484657,0.009894850254058837,0.043780402046959044,0.011852790355682374,0.07852881908614057,0.013810730457305909,0.006010415144064523,0.015768670558929443,0.14554222089384652,0.017726610660552977,0.025781153985163403,0.019684550762176515,0.12838653986981435,0.02164249086380005,0.06541498771373698,0.023600430965423583,0.03129197382324216,0.02555837106704712,0.1271342791465138,0.027516311168670655,0.06261667222984585,0.02947425127029419,0.062190525433182584,0.031432191371917724,0.07744309013150191,0.03339013147354126,0.01773599696897637,0.03534807157516479,0.04531191254827784,0.03730601167678833,0.0129982045111929,0.03926395177841186,0.003793870031044721,0.041221891880035395,0.018731551516129947,0.04317983198165894,0.007374666663757815
CELL_i00005_k01_seed1920553815_void_mask.tif,5,1,0.172869,17.287,0.022288728521340107,7.670540489245075e-05,0.2868112954072051,-0.05988766423690883,0.005,0.0107,0.0145,0.0165,0.0208,0.0222,0.0253,0.0266,0.0299,0.0334,0.0492,0.006106107234954835,0.038689701450231095,0.008318321704864502,0.00029140563085342083,0.010530536174774171,0.10818669049974257,0.012742750644683838,0.01371269574070539,0.014954965114593507,0.12850048302471814,0.017167179584503173,0.05121869739513736,0.019379394054412843,0.03757107983501958,0.021591608524322514,0.16001639970150808,0.023803822994232178,0.029048730541624008,0.02601603746414185,0.1738643134396566,0.028228251934051516,0.04129210558284019,0.030440466403961183,0.06617149402148448,0.032652680873870854,0.06113010429863076,0.03486489534378052,0.03752190965413116,0.03707710981369018,0.014182704822727038,0.03928932428359985,0.00836833093267156,0.04150153875350952,0.008754461470824728,0.043713753223419194,0.006730530054549978,0.04592596769332886,0.00651071042234293,0.04813818216323853,0.008237451480600917
CELL_i00006_k01_seed172631305_void_mask.tif,6,1,0.176252,17.625,0.02191132315892147,0.0001097357000208577,0.42568772282682543,-0.05184091738160035,0.005,0.008,0.0118,0.0147,0.0192,0.0218,0.0243,0.0271,0.0306,0.0352,0.0559,0.006272542476654053,0.09186646373723949,0.00881762742996216,0.04813427384408949,0.011362712383270265,0.08871401276866756,0.01390779733657837,0.08810196210817767,0.016452882289886478,0.057341983838458344,0.01899796724319458,0.04499884398310939,0.02154305219650269,0.13260577554549105,0.02408813714981079,0.08267719327609513,0.0266332221031189,0.09861178683332222,0.029178307056427003,0.06344617854858178,0.03172339200973511,0.0694085306954399,0.034268476963043214,0.0401499559578841,0.036813561916351316,0.02867489258971897,0.039358646869659425,0.015094176369880015,0.04190373182296753,0.022049426459595435,0.044448816776275636,0.007532549322205312,0.04699390172958374,0.006151711968817331,0.04953898668289185,0.007411273930613455,0.05208407163619995,0.0015198430653880033,0.05462915658950806,0.00550916515722539
CELL_i00007_k01_seed471562565_void_mask.tif,7,1,0.178948,17.895,0.022225642005911737,0.00010626051800863828,0.2603587218445076,-0.46981324022692084,0.005,0.0101,0.0122,0.0161,0.0197,0.0214,0.0251,0.0278,0.0316,0.036,0.0532,0.0062037682533264155,0.0879223739348315,0.008611304759979248,0.00024029377310819298,0.011018841266632079,0.11271663985481785,0.013426377773284912,0.017525379283463528,0.015833914279937744,0.13574851859587408,0.018241450786590577,0.029927751206533192,0.02064898729324341,0.1447574395022007,0.023056523799896242,0.03252767394929103,0.025464060306549074,0.10530944459307577,0.027871596813201907,0.06992059827561277,0.03027913331985474,0.06148027949518749,0.03268666982650757,0.051574448110166315,0.0350942063331604,0.05831454874016908,0.03750174283981323,0.03353774603043768,0.03990927934646606,0.019929714071365852,0.042316815853118896,0.015832146417143006,0.04472435235977173,0.010281639669707828,0.04713188886642456,0.0064914245159722024,0.04953942537307739,0.0018559899858967112,0.051946961879730226,0.004105949995145228
CELL_i00008_k01_seed140958284_void_mask.tif,8,1,0.163354,16.335,0.022969505018917404,0.00010731626432163866,0.02613142563757742,-0.8468847044046623,0.005,0.0094,0.0122,0.016,0.0203,0.0229,0.0254,0.0298,0.0329,0.0369,0.0464,0.006034202337265015,0.07948529001027675,0.008102607011795044,0.007809720140216845,0.010171011686325074,0.10701214309709044,0.012239416360855102,0.011742892932761876,0.014307821035385132,0.07914018088003594,0.016376225709915163,0.04957175094292844,0.01844463038444519,0.01566458759458936,0.02051303505897522,0.12400895906362941,0.02258143973350525,0.037933691604053466,0.024649844408035276,0.09882747068676717,0.026718249082565308,0.05879175074397417,0.02878665375709534,0.029206486215147615,0.030855058431625365,0.07222269410092949,0.03292346310615539,0.05915522488336306,0.03499186778068543,0.052672376654094286,0.037060272455215454,0.040900405790181296,0.03912867712974548,0.026215285350155684,0.04119708180427551,0.025834976619047732,0.04326548647880554,0.010942484617391817,0.04533389115333557,0.01286162807336515
CELL_i00009_k01_seed1992313184_void_mask.tif,9,1,0.175317,17.532,0.022442143695761408,0.00010177980806963528,0.04389058815323444,-0.8240521299175243,0.005,0.0094,0.0114,0.0157,0.0203,0.0218,0.0252,0.0285,0.0317,0.0361,0.0472,0.006054247617721558,0.08833349851019974,0.008162742853164673,0.00031514320121323004,0.01027123808860779,0.11115000887677115,0.012379733324050905,0.012476676194638716,0.014488228559494021,0.08402416478139257,0.016596723794937138,0.05393725798321184,0.018705219030380252,0.014925096450218427,0.020813714265823367,0.13873858586261895,0.022922209501266486,0.028233836255300217,0.025030704736709597,0.11293605801486876,0.027139199972152715,0.048089996912737416,0.029247695207595834,0.05358432611759975,0.031356190443038945,0.0804834382265851,0.033464685678482056,0.02155950253005803,0.035573180913925175,0.06863277047236543,0.03768167614936829,0.027306944487026013,0.039790171384811404,0.02847981907072683,0.04189866662025452,0.0169243306950191,0.04400716185569764,0.0058073334250718514,0.04611565709114075,0.004061211932376828
CELL_i00010_k01_seed1622936911_void_mask.tif,10,1,0.178098,17.81,0.02220567842055972,8.355647734891148e-05,0.07818178407684741,-0.6907794225730375,0.005,0.0099,0.0136,0.0161,0.02,0.0215,0.0244,0.0268,0.0311,0.0348,0.0464,0.006034202337265015,0.05114522461618797,0.008102607011795044,0.006156714060918622,0.010171011686325074,0.11513729079314368,0.012239416360855102,0.012864388055469383,0.014307821035385132,0.09241107085555304,0.016376225709915163,0.061541873656815835,0.01844463038444519,0.02095191839335872,0.02051303505897522,0.14515162277001598,0.02258143973350525,0.052223983110446064,0.024649844408035276,0.10711713899490871,0.026718249082565308,0.06422297804722954,0.02878665375709534,0.028753089937716966,0.030855058431625365,0.06854081946341414,0.03292346310615539,0.05471979651681024,0.03499186778068543,0.04882206871768813,0.037060272455215454,0.03384929385886722,0.03912867712974548,0.012271316534553258,0.04119708180427551,0.017830046056039293,0.04326548647880554,0.003627913244515317,0.04533389115333557,0.0026614523163478584
CELL_i00011_k01_seed998773803_void_mask.tif,11,1,0.173839,17.384,0.02278672807220574,8.00863230737727e-05,-0.05574650502351667,-0.7959083057213308,0.005,0.011,0.0149,0.017,0.0208,0.023,0.0254,0.0279,0.0316,0.0347,0.043,0.005950290679931641,0.042188401065927285,0.007850872039794923,0.005056395491812119,0.009751453399658203,0.042137348153538395,0.011652034759521484,0.07996971339901661,0.013552616119384766,0.005210992339186921,0.015453197479248048,0.11181954017864204,0.01735377883911133,0.0421697056332215,0.01925436019897461,0.030986960654742816,0.02115494155883789,0.1247546224457365,0.023055522918701173,0.03367335052354402,0.024956104278564456,0.10989031533442534,0.026856685638427732,0.07130653750519518,0.028757266998291016,0.03392501980996812,0.0306578483581543,0.06794351678346519,0.032558429718017576,0.06434392693249655,0.03445901107788086,0.05690458282580027,0.03635959243774414,0.03316066423434293,0.03826017379760742,0.024771448335171718,0.040160755157470696,0.013216951867889444,0.042061336517333986,0.006570006485877039
