Filename,i_index,k_index,Porosity,Porosity_pct,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Radius_bin_1,VolFrac_bin_1,Radius_bin_2,VolFrac_bin_2,Radius_bin_3,VolFrac_bin_3,Radius_bin_4,VolFrac_bin_4,Radius_bin_5,VolFrac_bin_5,Radius_bin_6,VolFrac_bin_6,Radius_bin_7,VolFrac_bin_7,Radius_bin_8,VolFrac_bin_8,Radius_bin_9,VolFrac_bin_9,Radius_bin_10,VolFrac_bin_10,Radius_bin_11,VolFrac_bin_11,Radius_bin_12,VolFrac_bin_12,Radius_bin_13,VolFrac_bin_13,Radius_bin_14,VolFrac_bin_14,Radius_bin_15,VolFrac_bin_15,Radius_bin_16,VolFrac_bin_16,Radius_bin_17,VolFrac_bin_17,Radius_bin_18,VolFrac_bin_18,Radius_bin_19,VolFrac_bin_19,Radius_bin_20,VolFrac_bin_20
CELL_i00002_k01_seed1563890638_void_mask.tif,2,1,0.199188,19.919,0.024026463641560778,9.758312263391473e-05,0.186211563144733,-0.21041268910961541,0.005,0.0112,0.0158,0.0199,0.0216,0.0253,0.0267,0.0294,0.0321,0.0366,0.055,0.00625,0.04748032948813368,0.00875,0.00028239688434655245,0.01125,0.10648119676034293,0.01375,0.003915275914306979,0.01625,0.12577329680163565,0.018750000000000003,0.016681497732666792,0.02125,0.15866437569579456,0.02375,0.02363222637938327,0.026250000000000002,0.16836000205835955,0.02875,0.0633052233382826,0.03125,0.10248182932936388,0.03375,0.029996824603922684,0.03625,0.08061929009188568,0.03875,0.019037942845380802,0.041249999999999995,0.022077160869581586,0.04375,0.0063313381470497055,0.04625,0.010845923004803255,0.04875,0.0024957609089916425,0.05125,0.008088474316317143,0.05375,0.0034496348294511085
CELL_i00003_k01_seed643126122_void_mask.tif,3,1,0.203909,20.391,0.025123163894122946,8.120136312773147e-05,-0.028077224241680358,-0.5311451962146663,0.005,0.0125,0.0158,0.0207,0.0223,0.0257,0.0277,0.0301,0.0331,0.0368,0.0485,0.006086920022964478,0.022838034169696007,0.008260760068893433,8.827477977281505e-05,0.010434600114822388,0.0724141313209953,0.012608440160751343,0.010377803797041568,0.014782280206680298,0.09733888320143201,0.016956120252609255,0.0359977195681892,0.01912996029853821,0.02968852489164884,0.021303800344467168,0.1351554310445236,0.02347764039039612,0.02409533676215464,0.025651480436325078,0.1337920761124768,0.02782532048225403,0.08884733980273038,0.029999160528182987,0.08756612945741662,0.032173000574111946,0.06527306944895696,0.0343468406200409,0.0662447050457619,0.03652068066596985,0.0475525204288683,0.0386945207118988,0.03020468714559821,0.040868360757827765,0.028197048925070647,0.04304220080375672,0.011210284011843532,0.04521604084968567,0.006955930042237031,0.047389880895614626,0.006162070043585673
CELL_i00004_k01_seed1805651843_void_mask.tif,4,1,0.199981,19.998,0.024149843256943443,8.921574578307124e-05,-0.01688105066462098,-0.7998202204457106,0.005,0.0119,0.0146,0.0193,0.0209,0.0243,0.0266,0.0302,0.0331,0.0369,0.0458,0.006020643949508667,0.032786885245901634,0.008061931848526,0.003507835436763641,0.010103219747543336,0.03822177995770846,0.01214450764656067,0.06966228645614238,0.014185795545578004,0.08122151680754473,0.01622708344459534,0.047742690394769,0.01826837134361267,0.02484800109010424,0.020309659242630007,0.1307787557185156,0.022350947141647343,0.04065076222913816,0.024392235040664678,0.06997544140158403,0.02643352293968201,0.10763841792371395,0.028474810838699346,0.03018538647758192,0.030516098737716678,0.06312416124791934,0.03255738663673401,0.07660920075482218,0.03459867453575134,0.05594347459475812,0.03663996243476868,0.04448175356768491,0.03868125033378601,0.026002486487770392,0.04072253823280335,0.04233717349221519,0.042763826131820684,0.01069914810603764,0.04480511403083801,0.0035828426093245168
CELL_i00005_k01_seed1920553815_void_mask.tif,5,1,0.202402,20.24,0.023929156701206416,9.015402329393181e-05,-0.035572657908552234,-0.7478475230258677,0.005,0.0106,0.0146,0.0182,0.0214,0.0249,0.0267,0.0297,0.0327,0.0362,0.0485,0.006086920022964478,0.04395527706652735,0.008260760068893433,0.00023035868019915834,0.010434600114822388,0.0979431996017821,0.012608440160751343,0.011296839083654168,0.014782280206680298,0.10677588014925761,0.016956120252609255,0.038016593235977454,0.01912996029853821,0.0310082546223044,0.021303800344467168,0.1288791969437023,0.02347764039039612,0.02154996189509231,0.025651480436325078,0.12095189394360474,0.02782532048225403,0.07047555171830283,0.029999160528182987,0.07850660876202899,0.032173000574111946,0.06653783872916118,0.0343468406200409,0.0697492734129028,0.03652068066596985,0.03909304143862392,0.0386945207118988,0.029579783771632406,0.040868360757827765,0.02834461658557794,0.04304220080375672,0.010832416221697687,0.04521604084968567,0.004286030135609005,0.047389880895614626,0.0019873840023616396
CELL_i00006_k01_seed172631305_void_mask.tif,6,1,0.212146,21.215,0.023920988284064353,9.573872619684063e-05,-0.10430462287617029,-0.7628021552081985,0.005,0.0101,0.0144,0.0194,0.0213,0.0246,0.0265,0.0304,0.0326,0.0365,0.0472,0.006054247617721558,0.06028347273246855,0.008162742853164673,0.000258666658810428,0.01027123808860779,0.09377461826045198,0.012379733324050905,0.010278317075829399,0.014488228559494021,0.07547056414667991,0.016596723794937138,0.04773372064590066,0.018705219030380252,0.01479761838124166,0.020813714265823367,0.13581178023350704,0.022922209501266486,0.026985001458314305,0.025030704736709597,0.12567605388986927,0.027139199972152715,0.0483052620104704,0.029247695207595834,0.05586080316292169,0.031356190443038945,0.10258401510754699,0.033464685678482056,0.02349506382702919,0.035573180913925175,0.08472658816320158,0.03768167614936829,0.03864090998812726,0.039790171384811404,0.030046577675122924,0.04189866662025452,0.014580786193446129,0.04400716185569764,0.003748015072193923,0.04611565709114075,0.006942165316866657
CELL_i00007_k01_seed471562565_void_mask.tif,7,1,0.207548,20.755,0.023647286772785638,0.00010483857060594527,-0.005782647958866361,-0.7686326558078562,0.005,0.0098,0.0139,0.0174,0.021,0.0242,0.0261,0.0301,0.0326,0.0372,0.0472,0.006054247617721558,0.07279563571888016,0.008162742853164673,0.000207180490343221,0.01027123808860779,0.09879859406355625,0.012379733324050905,0.010393956111463104,0.014488228559494021,0.07621411380954331,0.016596723794937138,0.048272451981103214,0.018705219030380252,0.015126584870524238,0.020813714265823367,0.1375347208001985,0.022922209501266486,0.028280136931849664,0.025030704736709597,0.11338915964220411,0.027139199972152715,0.05039183612505029,0.029247695207595834,0.05296533099492408,0.031356190443038945,0.09309028973950668,0.033464685678482056,0.02506522571832608,0.035573180913925175,0.0671915239088695,0.03768167614936829,0.03917156712768341,0.039790171384811404,0.03234966766803904,0.04189866662025452,0.011440097133922914,0.04400716185569764,0.021336579161015376,0.04611565709114075,0.005985348002996891
CELL_i00008_k01_seed140958284_void_mask.tif,8,1,0.203347,20.335,0.022911282415455172,8.023612470134155e-05,-0.0007281428813929757,-0.7288667309148162,0.005,0.0112,0.0152,0.0175,0.021,0.0223,0.0255,0.0282,0.0315,0.0349,0.0436,0.005964724779129028,0.03916089246460484,0.007894174337387086,0.00468779967248103,0.009823623895645141,0.04102408690563421,0.011753073453903199,0.0756182781157332,0.013682523012161257,0.004724682439377025,0.015611972570419314,0.1125729664071759,0.01754142212867737,0.04625098968757838,0.019470871686935426,0.03109647548279542,0.021400321245193483,0.14661821910330616,0.02332977080345154,0.023214013484339577,0.0252592203617096,0.12355419553767696,0.027188669919967656,0.05014273630788751,0.029118119478225714,0.0641772438245954,0.03104756903648377,0.049017811917559634,0.03297701859474182,0.061289323176638946,0.03490646815299989,0.05150125155522334,0.03683591771125794,0.03299286441403119,0.03876536726951599,0.01622780272145643,0.04069481682777405,0.018075629342945803,0.0426242663860321,0.00805273743895902
CELL_i00009_k01_seed1992313184_void_mask.tif,9,1,0.1954,19.54,0.024385460443830526,8.51627504981862e-05,0.054903766715994035,-0.5140909821459188,0.005,0.0113,0.0154,0.0204,0.0221,0.0242,0.0264,0.0299,0.0329,0.0361,0.0495,0.006112436890602112,0.029933412359111393,0.008337310671806337,0.00022134041452069884,0.01056218445301056,0.08606943563951706,0.012787058234214783,0.010385087541413367,0.015011932015419007,0.1062370018481285,0.017236805796623234,0.038561850252334474,0.019461679577827455,0.030931363360996618,0.021686553359031677,0.1420384940407612,0.023911427140235905,0.08733862460601727,0.026136300921440127,0.10755608836472293,0.02836117470264435,0.04305199004863732,0.030586048483848573,0.08300585400616556,0.03281092226505279,0.06650511801730166,0.03503579604625702,0.06914137191394848,0.03726066982746125,0.03557183551976295,0.03948554360866546,0.024357680992168,0.04171041738986969,0.019981409964028984,0.04393529117107391,0.007428977554418716,0.046160164952278135,0.007014444061327928,0.04838503873348236,0.004668619494716936
CELL_i00010_k01_seed1622936911_void_mask.tif,10,1,0.195819,19.582,0.022507198042814584,8.34653119500724e-05,0.03903855806300274,-0.7138705462640713,0.005,0.0111,0.0135,0.0163,0.02,0.0222,0.0252,0.0274,0.031,0.0348,0.0453,0.006006923198699951,0.047517064535958886,0.008020769596099854,0.005574021434321085,0.010034615993499757,0.043959572385996515,0.01204846239089966,0.08176678350493088,0.014062308788299562,0.08964905751672622,0.016076155185699464,0.050996678695198944,0.01809000158309937,0.030648819414344743,0.02010384798049927,0.10914089724382131,0.022117694377899174,0.07710304088020004,0.024131540775299075,0.06237197209414555,0.02614538717269898,0.09704618994697274,0.02815923357009888,0.04180388406903565,0.030173079967498784,0.06926991937074584,0.032186926364898685,0.060038824093407626,0.03420077276229859,0.040651672812857274,0.03621461915969849,0.043363358916040505,0.03822846555709839,0.02147709014632764,0.040242311954498296,0.0168452647309092,0.04225615835189819,0.004509263331658744,0.0442700047492981,0.006266624876400607
CELL_i00011_k01_seed998773803_void_mask.tif,11,1,0.208388,20.839,0.024981909865549587,0.00011554607311696717,0.09285635319213746,-0.48315447567222547,0.005,0.0105,0.0144,0.0185,0.0216,0.0248,0.0278,0.0315,0.0349,0.0386,0.0579,0.006321979641914367,0.05900288224197036,0.008965938925743103,0.03533730628844614,0.011609898209571838,0.06469718464043955,0.014253857493400574,0.07247114009015629,0.01689781677722931,0.05772881732104457,0.019541776061058044,0.09377513713893246,0.022185735344886777,0.06128708149756614,0.024829694628715517,0.11006145383764071,0.02747365391254425,0.07149039802531934,0.030117613196372985,0.07131644377528709,0.032761572480201714,0.07443502358879615,0.035405531764030454,0.08883543628025829,0.03804949104785919,0.055980277187099796,0.04069345033168792,0.03409323347959487,0.04333740961551666,0.014377018844044014,0.0459813688993454,0.020691558120214382,0.048625328183174124,0.006067404272676286,0.051269287467002864,0.003315927910959418,0.0539132467508316,0.00019974746641633251,0.056557206034660336,0.004836527993137805
