Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.13875,0.017038946,5.68295681956489e-05,0.087562215,-0.830153213,0.0063,0.0103,0.0112,0.0151,0.0162,0.0197,0.0211,0.0244,0.0267,0.0367,,0.4156367096304894,0.439666074,0.6701275897197425,0.037378606,0.1399232387542724,0.052378606,0.067378606,0.082378606,0.097387856,0.8604475966706873,0.8127485336661339,0.815952176,0.059974858,0.060767106,0.066094003
0.139113,0.019446626,6.942019548950292e-05,-0.064028907,-0.880098042,0.0073,0.0111,0.0154,0.0169,0.0205,0.0217,0.0254,0.027,0.0308,0.0381,,0.3922372593730688,0.4601191945374012,0.6694656396813691,0.048397794,0.1301407639309764,0.06363097,0.07863097,0.100054866,0.115098126,0.8076584866464138,0.9908218704223632,0.8547743421286345,0.053098274,0.069101062,0.082502556
0.13535,0.0167238,5.37293622418096e-05,-0.008005472,-0.946378194,0.0061,0.0103,0.0118,0.0154,0.0164,0.0196,0.0207,0.0244,0.0263,0.0335,,0.4124075844883919,0.4446138374507427,0.6323902960181236,0.035773855,0.1283460237085819,0.058760952,0.073803546,0.088803546,0.1039726273953914,0.885241334,0.9831121453523636,0.837308874,0.055883405,0.076620709,0.07369115
0.141816,0.017280539,5.389387908208138e-05,0.021814489,-0.853410229,0.0064,0.0111,0.0124,0.0151,0.0169,0.0203,0.0215,0.0249,0.0269,0.0354,,0.3932576901465654,0.4595753692090511,0.7100081680566073,0.038235859,0.130002822,0.054489525,0.076628408,0.091653797,0.1096917416468262,0.828935451,0.8164386767566204,0.9907073294639588,0.069717051,0.081137532,0.080510318
0.133463,0.017939972,6.376740737251455e-05,0.069168538,-0.857480077,0.0064,0.0106,0.0123,0.0157,0.0183,0.0206,0.0225,0.0254,0.0288,0.0374,,0.3783854763209819,0.4809997171163559,0.683125121,0.038021279,0.1213306599855423,0.060825357,0.075934699,0.091107818,0.1063181177437305,0.8281971042215824,0.9636263703763484,0.8152397789359094,0.068547827,0.076418871,0.084790107
0.140525,0.017434223,6.007953364891265e-05,0.050485262,-0.897781362,0.0062,0.011,0.0123,0.0151,0.0169,0.0204,0.0217,0.0253,0.0275,0.0354,,0.4164523282647133,0.4379698790609836,0.6190876888632775,0.041112084,0.119476169,0.05745687,0.074358038,0.089358038,0.1043728665381669,0.8198886179685593,0.9754429168641569,0.949529014,0.059384364,0.063269623,0.072428386
0.132582,0.018078178,6.025398756159122e-05,0.087818739,-0.781631832,0.0072,0.0105,0.0136,0.0151,0.0176,0.021,0.0225,0.0251,0.0283,0.0394,,0.4157476976513862,0.4422318160533905,0.7144570275971666,0.040392151,0.1403963732719421,0.055392151,0.070392151,0.085392151,0.1003921511769294,0.8257657536238432,0.8205414610207081,0.8472109102904797,0.06213158,0.07063816,0.064376925
0.133408,0.01774094,5.913940250261544e-05,0.021839083,-0.875381386,0.0064,0.0113,0.0126,0.0154,0.0176,0.0208,0.0218,0.0256,0.0281,0.0357,,0.4068586069345474,0.4498312667710706,0.6870151559293269,0.038273221,0.1440238010883331,0.056732589,0.072738161,0.1084565464958548,0.1244428921997547,0.8639277355611324,0.8573031665116548,0.9836087865948676,0.082875043,0.085915361,0.089807712
0.129655,0.017527425,6.019932792582701e-05,0.036919982,-0.889912205,0.0063,0.0111,0.0124,0.0152,0.0173,0.0207,0.0218,0.0256,0.0278,0.0357,,0.4081027546525002,0.4555044051259756,0.6579619735434651,0.044242881,0.1479891896247863,0.059242881,0.074242881,0.089242881,0.104242881,0.956775163,0.804791667,0.980699005,0.052652616,0.056790436,0.063315127
0.140107,0.018249725,6.509476580247323e-05,0.030374426,-0.885814156,0.0064,0.0105,0.0134,0.0156,0.0188,0.0205,0.023,0.0254,0.0291,0.0367,,0.3920720645040274,0.4606163710355759,0.5173895321756601,0.042443725,0.1420211851596832,0.058009372,0.086796385,0.1034444467492401,0.121896216,0.8475381066113711,0.8185416289389134,0.9878443265259266,0.054258384,0.058965836,0.063760378
0.127484,0.017523222,5.671663533228458e-05,-0.039314384,-0.93640464,0.0063,0.0111,0.0124,0.0152,0.0174,0.0206,0.0219,0.0253,0.0272,0.0354,,0.4164621832966804,0.4487078719772399,0.693656666,0.046362007,0.1213940691947937,0.061365461,0.076387864,0.091394069,0.1063940691947937,0.8601093813538552,0.9937721663892268,0.8203961174130441,0.081615944,0.077437291,0.098151762
0.127018,0.017185763,5.6355450697579435e-05,0.1062592850613485,-0.738008398,0.0064,0.0104,0.0113,0.0152,0.0165,0.0197,0.0211,0.0244,0.0266,0.0367,,0.3759308348596096,0.4878263413906097,0.7496542129173874,0.036454806,0.1366719424724579,0.051454806,0.066454806,0.10318797,0.1182323288470506,0.9869935429483652,0.8609819394767284,0.8126228280127049,0.061524427,0.072400332,0.079503089
0.127863,0.018341061,6.707127325434223e-05,0.1202854128555588,-0.743904993,0.0066,0.0106,0.0139,0.0154,0.0183,0.0205,0.0234,0.0258,0.0295,0.0403,,0.3675691938400268,0.4985054939985275,0.7341527241725474,0.037655443,0.1355519527196884,0.057554943,0.072554943,0.088199916,0.1205519527196884,0.995485722,0.834877954,0.8604062936365605,0.063219471,0.083723256,0.083362421
0.140646,0.01901576,7.830616448433458e-05,0.2068581038191636,-0.64900745,0.0067,0.011,0.0146,0.016,0.0192,0.0214,0.0243,0.0266,0.0315,0.043,,0.3639540785551071,0.4896144300699234,0.5124256205499172,0.038659415,0.1174864113330841,0.053662544,0.0688149,0.084995403,0.1023280916810035,0.8433907682090998,0.8269153050243855,0.9023869309786708,0.074480058,0.060860995,0.096640022
