Quantifying_Parameter,Input_Parameter,2D_KL_Score
Kurtosis,Input12,3.149729230715887
Kurtosis,Input13,2.655842539742526
Kurtosis,Input14,2.690495607596386
Kurtosis,Input15,2.419528701834995
P10,Input1,3.8852903954740965
P10,Input2,3.5748680273534026
P10,Input3,4.608976387085912
P10,Input4,4.845719029002658
P10,Input5,6.009403747799256
P10,Input6,4.118864797173832
P10,Input7,3.9920140131535455
P10,Input8,4.373605325385795
P10,Input9,4.485130462754675
P10,Input10,4.492982896121955
P10,Input11,5.43283996862047
P10,Input12,4.95098064195726
P10,Input13,4.2899076558116445
P10,Input14,4.306458423024438
P10,Input15,3.6198513396040295
P20,Input1,3.465217863371663
P20,Input2,3.641646542903038
P20,Input3,4.297350850236939
P20,Input4,4.547776651009167
P20,Input5,5.624788091248699
P20,Input6,3.7883768736732444
P20,Input7,4.187946318915994
P20,Input8,4.081400522636121
P20,Input9,4.301975136699906
P20,Input10,4.55946492452258
P20,Input11,4.80557953636083
P20,Input12,4.129959313657297
P20,Input13,4.033747354986346
P20,Input14,3.788795378869212
P20,Input15,3.406402963245457
P30,Input1,3.4828640005530866
P30,Input2,3.715865617922895
P30,Input3,5.068356566586596
P30,Input4,4.980979128503698
P30,Input5,5.7659885265034445
P30,Input6,4.126686732023249
P30,Input7,4.379722727274326
P30,Input8,4.363578893534267
P30,Input9,4.667931085003188
P30,Input10,4.458670509686112
P30,Input11,4.89387917111039
P30,Input12,4.909603855672195
P30,Input13,4.1824202010222
P30,Input14,3.9957460632104578
P30,Input15,3.60732050669926
P40,Input1,3.1438688545531215
P40,Input2,3.2542962241835585
P40,Input3,4.50415900052319
P40,Input4,4.472560747860073
P40,Input5,5.369409546705029
P40,Input6,3.6882798683300635
P40,Input7,4.092415453994552
P40,Input8,4.226969003186481
P40,Input9,4.301059979697046
P40,Input10,4.327143021169885
P40,Input11,4.801928956898612
P40,Input12,4.360945915232169
P40,Input13,4.132517732297694
P40,Input14,3.8095850223422
P40,Input15,2.776363888002148
P50,Input1,2.981833013322639
P50,Input2,3.1466638845705255
P50,Input3,4.50748790287531
P50,Input4,4.546323165972066
P50,Input5,5.547200491064412
P50,Input6,3.59386258676096
P50,Input7,4.146931873359525
