,RVE_ID,,Porosity,,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELL_i0001_k01_seed01_void_mask.tif,100,1,0.109657272,10.965,0.01798536,6.27E-05,0.071952313,-0.801416043,0.005,0.006683044,0.01081129,0.01328673,0.016039435,0.018034741,0.02036964,0.022169871,0.025846567,0.028693962,0.037918811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELL_i0002_k01_seed02_void_mask.tif,101,1,0.20757093,20.75,0.026005887,0.000105097,-0.018775006,-0.710543512,0.005,0.011688261,0.016389044,0.020633017,0.024219833,0.026760976,0.029929635,0.032698388,0.035327191,0.03998583,0.05375123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELL_i0003_k01_seed03_void_mask.tif,102,1,0.181384248,18.13,0.024843853,0.000128142,0.123433816,-0.669208135,0.005,0.009717707,0.013493235,0.01838781,0.021961042,0.02463574,0.027343896,0.031705239,0.035103318,0.041291299,0.054799273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
