Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.148376,0.021816835,6.107363485418036e-05,-0.11516085,-0.680760764,0.0115,0.0143,0.0174,0.0198,0.0219,0.0244,0.0267,0.029,0.032,0.0402,,0.38925892803778006,0.4398801411998104,0.5666930266154567,0.038795968849139474,0.1436421003101055,0.070708673,0.062445342,0.1075913093088911,0.10847524277332803,0.8695802750642753,0.9174474699933984,0.9310432074101377,0.067252828,0.066449484,0.06940275
0.145053,0.019930704,6.290889235362987e-05,-0.024589966,-0.780578485,0.0094,0.012,0.0152,0.0175,0.0202,0.0223,0.0249,0.0272,0.0307,0.0369,,0.417807338,0.4005624017354407,0.7200301855467905,0.049331092987497875,0.1279732193085036,0.05885777,0.092957088,0.12141078203625928,0.097502556,0.8916605397154695,0.9005700408069618,0.8514363681185223,0.084810455,0.074967634,0.052810601
0.143195,0.019118545,7.074885540275385e-05,-0.094956055,-0.841880575,0.0068,0.0111,0.0141,0.0172,0.0193,0.0224,0.0244,0.027,0.0303,0.0388,,0.3873432656175003,0.4219396095587682,0.906695459,0.043357597,0.13682872655823963,0.047406116,0.0811518,0.10227185426871138,0.10251968195526517,0.9043824704040304,0.9926945703046507,0.9630642338697378,0.09067408,0.067019771,0.068147925
0.143636,0.019263042,7.549240750353405e-05,0.065676525,-0.653488987,0.0071,0.0111,0.0141,0.0166,0.0196,0.022,0.0242,0.0272,0.0308,0.0416,,0.3728127432914585,0.45027419318399636,0.5597140786130215,0.038207097,0.13057721782366796,0.053022743,0.062021293,0.09804887,0.083232044,0.976933637,0.8603652681852287,0.8395684442133655,0.081541554,0.076561609,0.069888111
0.144492,0.018988252,5.572121496308618e-05,-0.017274706,-0.783463723,0.009,0.0116,0.0146,0.0167,0.0193,0.0212,0.0233,0.026,0.0291,0.0372,,0.357557794,0.4903231625943866,0.8888088837464683,0.037039557388483677,0.12464840260398814,0.076483216,0.074137471,0.08160952,0.14373560470505986,0.8609765176101845,0.9845963108230821,0.843419089,0.079803231,0.083433913,0.06116805
0.143446,0.020045611,5.859515609476777e-05,-0.04416369,-0.820718989,0.0097,0.0128,0.0152,0.0175,0.0201,0.0223,0.0248,0.0275,0.0305,0.0363,,0.38198612759647343,0.49555079271434316,0.7798164311076142,0.036577087482535055,0.13005664501373815,0.07115905,0.11267700971424888,0.11820666436762137,0.12969380098242958,0.8973760540195803,0.8155312543129402,0.9380353554981529,0.082607907,0.095879267,0.098213845
0.144348,0.02208263,8.570416285183281e-05,0.2383927803026848,-0.479625536,0.0101,0.0133,0.0162,0.0187,0.0215,0.0243,0.0273,0.0309,0.0348,0.0481,,0.41470424887102025,0.49758838457856536,0.6826840352220289,0.041086844073380306,0.11802275696914204,0.073547401,0.086900192,0.078239708,0.085814369,0.8147651070764785,0.8958792256012809,0.8589282694525971,0.057918615,0.080501059,0.091446101
0.144228,0.019174827,6.19142679109898e-05,0.09291605,-0.639061309,0.0083,0.0125,0.0145,0.0167,0.0188,0.0216,0.0239,0.0263,0.0299,0.0424,,0.37896471637504375,0.4704219412046724,0.6043930552100762,0.049282345154410774,0.1367841646879072,0.04426135,0.060244023,0.085611902,0.12340028238660596,0.8884073040751165,0.9169415574643309,0.929403501,0.054126329152131836,0.087542533,0.081870637
0.143927,0.020572533,7.262837258017598e-05,0.1330055830845339,-0.661687683,0.009,0.0121,0.0156,0.0178,0.0201,0.0229,0.0258,0.0286,0.0319,0.0436,,0.3816459137591416,0.49809195401310563,0.7104225976871849,0.036213694,0.14329504043096042,0.052650708,0.091425675,0.069836655,0.12849219995823932,0.9030431212122626,0.8185749494863983,0.8832834052519816,0.086846081,0.088905837,0.095794134
0.138977,0.019556756,7.569882613852135e-05,-0.022723979,-0.77653403,0.0072,0.0115,0.0144,0.0169,0.0197,0.0225,0.0248,0.0275,0.0313,0.0419,,0.40163316497357093,0.4574430171527105,0.767766825,0.042436077,0.13721155858924092,0.065227249,0.11226006541633285,0.06976083,0.086651443,0.810844387,0.9468615049241627,0.8517302782212969,0.088500405,0.086624556,0.096004668
0.168963,0.022400233,9.663270595986432e-05,0.016467857,-0.651308077,0.0092,0.0131,0.0164,0.0194,0.0223,0.0254,0.0283,0.0316,0.0353,0.0483,,0.35114029231926036,0.42465932247377136,0.693694179,0.041400884,0.1290944812232238,0.084162419,0.082806929,0.12030254812026264,0.1188020793277403,0.95540178,0.8073287260206501,0.9770942390930569,0.073291103,0.062691317,0.055789163903298786
0.159887,0.021900896,7.235145120106887e-05,-0.057779967,-0.816059933,0.0109,0.0138,0.0165,0.0198,0.0221,0.0244,0.0274,0.0302,0.0331,0.0415,,0.37454235992258716,0.48134638617810743,0.6858284392691617,0.037657127,0.1251982304403753,0.062380152,0.063549606,0.12094402958155868,0.13940712173182784,0.9520910236237613,0.8765636809641597,0.8968164792632889,0.091973099,0.058829442311027345,0.087058245
