Filename,i_index,k_index,Porosity,Porosity_pct,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Radius_bin_1,VolFrac_bin_1,Radius_bin_2,VolFrac_bin_2,Radius_bin_3,VolFrac_bin_3,Radius_bin_4,VolFrac_bin_4,Radius_bin_5,VolFrac_bin_5,Radius_bin_6,VolFrac_bin_6,Radius_bin_7,VolFrac_bin_7,Radius_bin_8,VolFrac_bin_8,Radius_bin_9,VolFrac_bin_9,Radius_bin_10,VolFrac_bin_10,Radius_bin_11,VolFrac_bin_11,Radius_bin_12,VolFrac_bin_12,Radius_bin_13,VolFrac_bin_13,Radius_bin_14,VolFrac_bin_14,Radius_bin_15,VolFrac_bin_15,Radius_bin_16,VolFrac_bin_16,Radius_bin_17,VolFrac_bin_17,Radius_bin_18,VolFrac_bin_18,Radius_bin_19,VolFrac_bin_19,Radius_bin_20,VolFrac_bin_20
CELL_i03395_k01_seed1119008378_void_mask.tif,3395,1,0.205722,20.572,0.02404101,0.00011337,0.05100072,-0.7962707,0.005,0.0101,0.0144,0.0171,0.0204,0.0239,0.0267,0.0308,0.0343,0.0387,0.05,0.006125,0.07016039,0.008375,0.00020841,0.010625,0.10287573,0.012875,0.01069468,0.015125,0.10259987,0.017375,0.03450356,0.019625,0.09416371,0.021875,0.05980051,0.024125,0.06068338,0.026375,0.10006489,0.028625,0.03039485,0.030875,0.07150808,0.033125,0.05938976,0.035375,0.06923985,0.037625,0.03397798,0.039875,0.049821,0.042125,0.0233234,0.044375,0.0096678,0.046625,0.01409065,0.048875,0.0028315
CELL_i03396_k01_seed1970615225_void_mask.tif,3396,1,0.189156,18.916,0.02249674,0.00010946,0.2524707,-0.53778,0.005,0.0101,0.0121,0.016,0.0197,0.0215,0.025,0.0282,0.0319,0.0362,0.0524,0.00618601,0.08434892,0.00855803,0.00030795,0.01093006,0.11670709,0.01330208,0.01735404,0.0156741,0.13080192,0.01804612,0.02468132,0.02041814,0.13102131,0.02279017,0.04474542,0.02516219,0.11115876,0.02753421,0.04998315,0.02990623,0.07125591,0.03227826,0.05099422,0.03465028,0.0616448,0.0370223,0.03356749,0.03939432,0.020302,0.04176634,0.02029671,0.04413837,0.0126681,0.04651039,0.01185726,0.04888241,0.0027768,0.05125443,0.00352685
CELL_i03397_k01_seed1426446236_void_mask.tif,3397,1,0.22486,22.486,0.0240829,9.88E-05,0.02018584,-0.7262959,0.005,0.0103,0.0146,0.0194,0.0213,0.0245,0.0263,0.03,0.0334,0.0368,0.0474,0.00606085,0.05239874,0.00818256,0.00023126,0.01030427,0.09723333,0.01242598,0.01002402,0.01454769,0.07708856,0.01666939,0.04984549,0.0187911,0.01626291,0.02091281,0.14327145,0.02303452,0.03178813,0.02515623,0.12082191,0.02727794,0.05962658,0.02939964,0.05298633,0.03152135,0.07927159,0.03364306,0.02458142,0.03576477,0.08443203,0.03788648,0.02020091,0.04000818,0.04380395,0.04212989,0.01760485,0.0442516,0.01057548,0.04637331,0.00795106
CELL_i03398_k01_seed550904185_void_mask.tif,3398,1,0.136332,13.633,0.01578798,4.90E-05,0.04024469,-0.935284,0.005,0.0059,0.0096,0.0111,0.0146,0.0157,0.0178,0.0206,0.0222,0.0253,0.032,0.00567539,0.15343179,0.00702617,0.01497359,0.00837695,0.00066474,0.00972773,0.07485142,0.01107852,0.11179439,0.0124293,0.02255436,0.01378008,0.01001968,0.01513086,0.12034156,0.01648164,0.07327163,0.01783242,0.03679077,0.0191832,0.00989865,0.02053398,0.12585568,0.02188476,0.06510681,0.02323555,0.02945297,0.02458633,0.04957393,0.02593711,0.03916733,0.02728789,0.03268406,0.02863867,0.01253652,0.02998945,0.01012695,0.03134023,0.0069032
CELL_i03399_k01_seed191949068_void_mask.tif,3399,1,0.123584,12.358,0.0222287,5.60E-05,-0.3281368,-0.4900043,0.005,0.0112,0.0158,0.0192,0.0207,0.0221,0.0252,0.0265,0.0295,0.0317,0.0377,0.00581873,0.03882582,0.00745619,0.00133715,0.00909365,6.68E-05,0.01073111,0.07522414,0.01236856,0.01101478,0.01400602,0.0051817,0.01564348,0.11513728,0.01728094,0.04934093,0.0189184,0.00588466,0.02055586,0.17152301,0.02219331,0.05877076,0.02383077,0.01437787,0.02546823,0.14543651,0.02710569,0.06665305,0.02874315,0.04417845,0.03038061,0.07987078,0.03201807,0.05904486,0.03365552,0.01813645,0.03529298,0.03649643,0.03693044,0.00349863
CELL_i03400_k01_seed576043376_void_mask.tif,3400,1,0.192586,19.259,0.02834606,9.20E-05,-0.2132598,-0.4444378,0.005,0.0153,0.0197,0.023,0.026,0.0286,0.0313,0.0347,0.0367,0.0407,0.0502,0.00613123,0.0222738,0.0083937,2.40E-05,0.01065617,0.03640774,0.01291864,0.00400795,0.01518111,0.0670635,0.01744358,0.02550742,0.01970605,0.08772504,0.02196852,0.05920403,0.02423099,0.0654733,0.02649345,0.11831979,0.02875592,0.03335196,0.03101839,0.12939471,0.03328086,0.03812775,0.03554333,0.11275475,0.0378058,0.04994194,0.04006827,0.06384027,0.04233074,0.04148339,0.0445932,0.01562353,0.04685567,0.02438325,0.04911814,0.00509188
CELL_i03401_k01_seed264508138_void_mask.tif,3401,1,0.132724,13.272,0.0191282,6.11E-05,0.06347409,-0.6926091,0.005,0.0089,0.0111,0.014,0.0158,0.0198,0.0213,0.0237,0.0262,0.0294,0.0384,0.00583514,0.07168064,0.00750543,0.0085252,0.00917572,0.06205447,0.010846,0.09264612,0.01251629,0.01862133,0.01418658,0.11692957,0.01585686,0.06536114,0.01752715,0.03082051,0.01919744,0.03920821,0.02086772,0.12456854,0.02253801,0.05287471,0.02420829,0.07534049,0.02587858,0.05802826,0.02754887,0.06181902,0.02921915,0.03410269,0.03088944,0.02934941,0.03255973,0.02371555,0.03423001,0.01744596,0.0359003,0.00925416,0.03757059,0.00765403
CELL_i03402_k01_seed576909886_void_mask.tif,3402,1,0.200974,20.097,0.03145967,0.00011572,-0.2000004,-0.4288184,0.005,0.0166,0.0219,0.0254,0.0285,0.0317,0.0353,0.0377,0.0415,0.0454,0.0552,0.00625567,0.01979862,0.00876701,0.01299797,0.01127835,0.01643251,0.01378969,0.03470667,0.01630103,0.02586596,0.01881237,0.02584046,0.02132371,0.08713954,0.02383505,0.0643057,0.02634639,0.09673782,0.02885773,0.0476835,0.03136907,0.10623844,0.03388041,0.05742856,0.03639175,0.10396887,0.03890309,0.0515024,0.04141443,0.09073765,0.04392577,0.05298643,0.04643711,0.05529954,0.04894845,0.013276,0.05145979,0.02417233,0.05397113,0.01288104
CELL_i03403_k01_seed1943350648_void_mask.tif,3403,1,0.218806,21.881,0.02723634,0.00014338,0.14181157,-0.5408065,0.005,0.0112,0.0156,0.0198,0.0237,0.0264,0.0307,0.0344,0.0375,0.0429,0.0579,0.00632198,0.05103891,0.00896594,0.03046304,0.0116099,0.0557457,0.01425386,0.06298098,0.01689782,0.0500443,0.01954178,0.08582598,0.02218574,0.0581228,0.0248297,0.10026399,0.02747365,0.05557089,0.03011761,0.06984951,0.03276157,0.06642467,0.03540553,0.09942592,0.03804949,0.05036651,0.04069345,0.0548048,0.04333741,0.02774717,0.04598137,0.0367997,0.04862533,0.01207462,0.05126929,0.01201063,0.05391325,0.00929076,0.05655721,0.01114914
CELL_i03404_k01_seed596164578_void_mask.tif,3404,1,0.141684,14.168,0.02876547,9.78E-05,-0.2405422,-0.2966233,0.005,0.016,0.0207,0.0246,0.0262,0.0296,0.0322,0.0349,0.0366,0.0413,0.0539,0.00622129,0.0279372,0.00866387,3.97E-05,0.01110646,0.04010072,0.01354904,0.0010684,0.01599162,0.06289265,0.0184342,0.01924178,0.02087679,0.11669024,0.02331937,0.02773957,0.02576195,0.15424744,0.02820453,0.04087445,0.03064712,0.10033164,0.0330897,0.07518322,0.03553228,0.14136665,0.03797486,0.04296184,0.04041744,0.05726481,0.04286003,0.04160936,0.04530261,0.03026632,0.04774519,0.01027199,0.05018777,0.00521495,0.05263036,0.00469708
