Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Unnamed: 15,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.184276,0.024911922,7.285041145816044e-05,-0.120036827,-0.512808758,0.0132,0.0169,0.0205,0.0228,0.0251,0.0275,0.0298,0.0324,0.0361,0.046,,0.4156025359586407,0.46590017593589056,0.6070134475284426,0.03582504042479173,0.11805268271289358,0.07421545805913556,0.06959549907618519,0.10859454858112094,0.10687166842304849,0.8329468076232723,0.9746494856086946,0.8722080516194989,0.05453206562894822,0.08559066477561918,0.06792121000042756
0.180138,0.02436327,8.076634793799415e-05,0.01608279,-0.609851204,0.012,0.0164,0.0193,0.0218,0.0242,0.0268,0.0295,0.0326,0.0363,0.0455,,0.37737649981989485,0.4017425320591959,0.8876041064841087,0.04311354637424175,0.1476156312332763,0.08240346340167613,0.09711633665095425,0.11039231629814164,0.11104572532350454,0.9155648118478091,0.8590175987386192,0.8400836732138351,0.061984793041650256,0.08165665495180069,0.08678181697064298
0.177928,0.028752906,0.000133829,0.3515262400349626,-0.171767122,0.014,0.0189,0.022,0.0249,0.0279,0.0312,0.0347,0.0385,0.0437,0.0609,,0.4008248700547247,0.4583784496310364,0.9048861806198932,0.0446130461720836,0.11883555571935508,0.060905744790158076,0.092659761903182,0.11409873618740318,0.10701031961939178,0.815074530634331,0.8416341473070267,0.9784393083002179,0.06708761532719948,0.07860099139880383,0.09558514235722573
0.182049,0.023898969,0.000117338,0.1140834289716865,-0.560536818,0.0098,0.0139,0.0173,0.0206,0.0239,0.0268,0.0299,0.0336,0.0383,0.0534,,0.35962036030306643,0.4620895418375509,0.8140613715067964,0.04136026731483742,0.1167780119495088,0.05646940373308503,0.08948025800356746,0.09980289932827822,0.10368478682881843,0.8371376871327344,0.823788104152307,0.8883312938118068,0.0763358154742565,0.06847287865347913,0.07489233574899662
0.181412,0.023522787,8.192777196055779e-05,-0.05501298,-0.800455499,0.0106,0.0152,0.018,0.0207,0.0237,0.0263,0.029,0.032,0.0359,0.0432,,0.374466207033874,0.4492666563273742,0.5655769216175587,0.04054786689209275,0.11380367806661676,0.051873244948033206,0.08870892184545798,0.09865168339075658,0.1081363111701683,0.966020886411947,0.9342141106909208,0.8911929789668498,0.06992423529698508,0.07387084420222462,0.07089531849424058
0.177363,0.021641566,7.130861664061964e-05,0.1055340372783913,-0.595986413,0.0101,0.0139,0.0169,0.0191,0.0213,0.0237,0.0269,0.0294,0.0329,0.0442,,0.3709872056960035,0.4153541314634162,0.8306794144464466,0.0357726886955178,0.1179723266703704,0.08348746100591756,0.06565227275407924,0.10895200008177595,0.10540219324776838,0.883781120337489,0.8879741025014812,0.9618781843799901,0.08070801071665858,0.06868875901197113,0.07887548708537832
0.171039,0.023691073,7.534239008510929e-05,-0.01761116,-0.69926,0.0127,0.0156,0.0181,0.0213,0.0239,0.0261,0.0286,0.0321,0.0354,0.0424,,0.3960091760864691,0.46843382951373325,0.6958690816416268,0.03563390970090404,0.12636085678191755,0.06250986748750152,0.07489940184524621,0.09000570200807476,0.1320943428043046,0.9865115491513796,0.892462904850664,0.9764639686059139,0.0622841814281584,0.07080267238225137,0.06921947499626509
0.184365,0.024205823,7.946384845599801e-05,-0.003395248,-0.615314861,0.0124,0.016,0.0188,0.0215,0.0239,0.0266,0.0294,0.0324,0.0363,0.0495,,0.39053577887861,0.4058364531259686,0.6435434025911146,0.03652214347041451,0.14423713002210078,0.08436846445928356,0.08063109374755183,0.08576165968973982,0.10239363096880703,0.8565694472497692,0.9271014921989364,0.8841467757611322,0.05829661546614376,0.07364367475665935,0.06862729280183681
0.185842,0.024592569,7.673896130875888e-05,0.000895107,-0.506040016,0.0127,0.0164,0.0192,0.022,0.0245,0.0271,0.0299,0.0326,0.0361,0.048,,0.4052025041039395,0.4577603141206256,0.8110119520326272,0.04948189813313382,0.13661103127911622,0.07073231757899973,0.06715335196434884,0.10271151281236628,0.1333938010031497,0.8645538547157819,0.9756738296541555,0.8255555216656298,0.09354291684808351,0.06020716789439388,0.07715768878342966
0.138624,0.018200124,6.508955715199331e-05,0.04598381,-0.61538881,0.0069,0.0103,0.0137,0.0158,0.018,0.0207,0.023,0.0254,0.0288,0.0419,,0.3760409789238622,0.4495591033000468,0.5543992579447198,0.038620613427376584,0.121270681662158,0.08331868495885823,0.07326006189353558,0.08421849105583168,0.13252384735383427,0.8062905959300709,0.8547875464040315,0.9851511702975323,0.08560535277013845,0.09732390062119399,0.06033341386010034
