RVE_ID,Param_1,Param_2,Param_3,Param_4,Param_5,Param_6,Param_7,Param_8,Param_9,Param_10,Param_11,Param_12,Param_13,Param_14,Param_15,Confidence,Filename,i_index,k_index,Porosity,Porosity_pct,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Radius_bin_1,VolFrac_bin_1,Radius_bin_2,VolFrac_bin_2,Radius_bin_3,VolFrac_bin_3,Radius_bin_4,VolFrac_bin_4,Radius_bin_5,VolFrac_bin_5,Radius_bin_6,VolFrac_bin_6,Radius_bin_7,VolFrac_bin_7,Radius_bin_8,VolFrac_bin_8,Radius_bin_9,VolFrac_bin_9,Radius_bin_10,VolFrac_bin_10,Radius_bin_11,VolFrac_bin_11,Radius_bin_12,VolFrac_bin_12,Radius_bin_13,VolFrac_bin_13,Radius_bin_14,VolFrac_bin_14,Radius_bin_15,VolFrac_bin_15,Radius_bin_16,VolFrac_bin_16,Radius_bin_17,VolFrac_bin_17,Radius_bin_18,VolFrac_bin_18,Radius_bin_19,VolFrac_bin_19,Radius_bin_20,VolFrac_bin_20
3351,0.397150117,0.4521010104566813,0.7976997251495719,0.044203235,0.1333271676301956,0.059203235,0.074203235,0.102209838,0.1178664036855101,0.8476397115051747,0.9915946519076824,0.8470695325016976,0.05421695,0.067378791,0.071714806,0.993489,CELL_i00002_k01_seed1563890638_void_mask.tif,2,1,0.148376,14.838,0.021816835,6.107363485418036e-05,-0.11516085,-0.680760764,0.0025,0.0115,0.0143,0.0174,0.0198,0.0219,0.0244,0.0267,0.029,0.032,0.0402,0.003441399,0.008064057,0.005324196,0.013253667,0.007206993,0.022120896,0.00908979,0.018263624,0.010972588,0.049620112,0.012855385,0.074818486,0.014738182,0.051566176,0.016620979,0.070011454,0.018503777,0.074767412,0.020386574,0.089980517,0.022269371,0.090658902,0.024152168,0.060034294,0.026034966,0.090991249,0.027917763,0.079447023,0.02980056,0.065403136,0.031683357,0.060813246,0.033566154,0.038806818,0.035448952,0.021834989,0.037331749,0.015768176,0.039214546,0.003775765
3351,0.3944991253316403,0.4547074735164642,0.7125017518702894,0.047882539,0.1320433117449283,0.062886561,0.077886561,0.093451387,0.1103662668988108,0.8250682037085295,0.9946440248668194,0.8510333981871605,0.083669944,0.088649321,0.064919047,0.98906845,CELL_i00003_k01_seed643126122_void_mask.tif,3,1,0.145053,14.505,0.019930704,6.290889235362987e-05,-0.024589966,-0.780578485,0.0025,0.0094,0.012,0.0152,0.0175,0.0202,0.0223,0.0249,0.0272,0.0307,0.0369,0.003360301,0.009687193,0.005080904,0.031711688,0.006801507,0.033730562,0.00852211,0.023998989,0.010242713,0.065612447,0.011963316,0.064989722,0.013683919,0.042156686,0.015404522,0.079808014,0.017125124,0.065260851,0.018845727,0.054640702,0.02056633,0.09237045,0.022286933,0.075094112,0.024007536,0.05865723,0.025728139,0.082054176,0.027448742,0.05612572,0.029169344,0.042372448,0.030889947,0.052758523,0.03261055,0.030581067,0.034331153,0.01867238,0.036051756,0.019717041
3351,0.3821263965964317,0.4695616334676742,0.5197345787912607,0.044969734,0.1453534996509552,0.059969734,0.074969734,0.089969734,0.1098493592403829,0.983474642,0.8167034795045853,0.8272278032302857,0.065886605,0.093446824,0.096674024,0.9836812,CELL_i00004_k01_seed1805651843_void_mask.tif,4,1,0.143195,14.319,0.019118545,7.074885540275385e-05,-0.094956055,-0.841880575,0.0025,0.0068,0.0111,0.0141,0.0172,0.0193,0.0224,0.0244,0.027,0.0303,0.0388,0.003407761,0.034856248,0.005223283,0.049141963,0.007038805,0.045403831,0.008854326,0.014354896,0.010669848,0.075430339,0.01248537,0.060782136,0.014300892,0.052424314,0.016116414,0.06069266,0.017931936,0.088171611,0.019747457,0.074662154,0.021562979,0.045322975,0.023378501,0.094358331,0.025194023,0.073371518,0.027009545,0.060715574,0.028825067,0.056334961,0.030640588,0.048552731,0.03245611,0.035562781,0.034271632,0.019033727,0.036087154,0.008423401,0.037902676,0.002403849
3351,0.3772246165573597,0.4730790510773658,0.5350827223330736,0.04160796,0.1402456724643707,0.058553258,0.073590185,0.094985066,0.1104828232437372,0.8175491615653039,0.9486567353785038,0.820475866,0.054222372,0.089010632,0.090976627,0.9914214,CELL_i00005_k01_seed1920553815_void_mask.tif,5,1,0.143636,14.364,0.019263042,7.549240750353405e-05,0.065676525,-0.653488987,0.0025,0.0071,0.0111,0.0141,0.0166,0.0196,0.022,0.0242,0.0272,0.0308,0.0416,0.003477707,0.034093787,0.005433122,0.048021402,0.007388536,0.051267466,0.009343951,0.055012297,0.011299365,0.029450632,0.01325478,0.087302691,0.015210194,0.079913653,0.017165609,0.074380006,0.019121024,0.055135765,0.021076438,0.089908462,0.023031853,0.087850083,0.024987267,0.069234386,0.026942682,0.063270831,0.028898096,0.049193096,0.030853511,0.054297271,0.032808925,0.027160982,0.03476434,0.015115627,0.036719754,0.011604569,0.038675169,0.015202109,0.040630583,0.002584885
3351,0.4015331533551216,0.4496358063770458,0.7452471084706485,0.039370814,0.1198880755901336,0.054373773,0.073176417,0.088291774,0.1048761115223169,0.8343418917715549,0.9918870418727398,0.908708056,0.06078541,0.084797559,0.069948788,0.99262154,CELL_i00006_k01_seed172631305_void_mask.tif,6,1,0.144492,14.449,0.018988252,5.572121496308618e-05,-0.017274706,-0.783463723,0.0025,0.009,0.0116,0.0146,0.0167,0.0193,0.0212,0.0233,0.026,0.0291,0.0372,0.003366629,0.009968121,0.005099888,0.031660301,0.006833147,0.037903407,0.008566405,0.027764645,0.010299664,0.073009404,0.012032922,0.070968956,0.013766181,0.048035573,0.01549944,0.083532595,0.017232698,0.08108901,0.018965957,0.054218879,0.020699215,0.1032059544870602,0.022432474,0.079122637,0.024165733,0.061145739,0.025898991,0.070247786,0.02763225,0.049663476,0.029365508,0.049254067,0.031098767,0.035917136,0.032832026,0.021647735,0.034565284,0.008779365,0.036298543,0.002865213
3351,0.4022531475126743,0.4485011652112007,0.7593875950880349,0.04496921,0.1265306714177131,0.05996921,0.07496921,0.08996921,0.106810105,0.8490433722406626,0.9765055814683438,0.8197882637798787,0.081945434,0.079899523,0.077396765,0.9855784,CELL_i00007_k01_seed471562565_void_mask.tif,7,1,0.143446,14.345,0.020045611,5.859515609476777e-05,-0.04416369,-0.820718989,0.0025,0.0097,0.0128,0.0152,0.0175,0.0201,0.0223,0.0248,0.0275,0.0305,0.0363,0.003345365,0.008160431,0.005036095,0.021783842,0.006726825,0.030638352,0.008417554,0.021552919,0.010108284,0.067469599,0.011799014,0.043290467,0.013489744,0.06264656,0.015180474,0.085379042,0.016871204,0.068526728,0.018561934,0.055391089,0.020252663,0.084565036,0.021943393,0.072163233,0.023634123,0.061671452,0.025324853,0.076718748,0.027015583,0.049741518,0.028706313,0.061779289,0.030397043,0.053299268,0.032087772,0.039755373,0.033778502,0.023741466,0.035469232,0.011725589
3351,0.3896886128187179,0.4592272415757179,0.7325437362067401,0.044205744,0.1421468961238861,0.059205744,0.086808222,0.1088633101731538,0.1271090770214796,0.860259662,0.988190795,0.8906755026996136,0.060630832,0.088685385,0.081978971,0.99416095,CELL_i00008_k01_seed140958284_void_mask.tif,8,1,0.144348,14.435,0.02208263,8.570416285183281e-05,0.2383927803026848,-0.479625536,0.0025,0.0101,0.0133,0.0162,0.0187,0.0215,0.0243,0.0273,0.0309,0.0348,0.0481,0.003639711,0.006766106,0.005919134,0.024750459,0.008198557,0.044794616,0.01047798,0.066651022,0.012757403,0.077711771,0.015036826,0.077884639,0.017316249,0.092829456,0.019595672,0.07934498,0.021875095,0.084548237,0.024154518,0.081463779,0.026433941,0.07195722,0.028713364,0.059718326,0.030992787,0.069331074,0.03327221,0.055892494,0.035551633,0.042637823,0.037831056,0.028287058,0.040110479,0.020833809,0.042389902,0.004327009,0.044669325,0.001153573,0.046948748,0.00911655
3351,0.379350144,0.4672626912593841,0.7375572950905189,0.037224617,0.1319109146296978,0.052225912,0.075515807,0.090658633,0.1056714779943227,0.8183665164887906,0.9941706953883171,0.9234025568500162,0.053191598,0.057712617,0.093695915,0.9817732,CELL_i00009_k01_seed1992313184_void_mask.tif,9,1,0.144228,14.423,0.019174827,6.19142679109898e-05,0.09291605,-0.639061309,0.0025,0.0083,0.0125,0.0145,0.0167,0.0188,0.0216,0.0239,0.0263,0.0299,0.0424,0.00349816,0.011189977,0.00549448,0.039975269,0.007490801,0.053621646,0.009487121,0.060500194,0.011483441,0.033242433,0.013479761,0.1022358070162856,0.015476082,0.087895216,0.017472402,0.096726079,0.019468722,0.079037053,0.021465042,0.06209576,0.023461363,0.1051562079184172,0.025457683,0.075849388,0.027454003,0.062210812,0.029450323,0.042560372,0.031446644,0.036672552,0.033442964,0.030881801,0.035439284,0.013163742,0.037435604,0.004111658,0.039431925,0.00025448,0.041428245,0.002619553
3351,0.3883674348518252,0.4599679261445999,0.7218358884926419,0.044477726,0.1416613090038299,0.059477726,0.074477726,0.089477726,0.1266195593088865,0.9686202504694462,0.9893321606993676,0.8162588387072087,0.05591686,0.066031058,0.070538891,0.9836337,CELL_i00010_k01_seed1622936911_void_mask.tif,10,1,0.143927,14.393,0.020572533,7.262837258017598e-05,0.1330055830845339,-0.661687683,0.0025,0.009,0.0121,0.0156,0.0178,0.0201,0.0229,0.0258,0.0286,0.0319,0.0436,0.003527225,0.008526806,0.005581674,0.0322862,0.007636124,0.047948911,0.009690573,0.063834393,0.011745023,0.072254156,0.013799473,0.044798326,0.015853922,0.084356243,0.017908372,0.098416685,0.019962821,0.081988283,0.022017271,0.069423721,0.02407172,0.07349904,0.02612617,0.070495231,0.028180619,0.073862181,0.030235069,0.066292568,0.032289519,0.038416711,0.034343968,0.032115974,0.036398418,0.021211438,0.038452867,0.009725333,0.040507317,0.005169843,0.042561766,0.005377957
3351,0.3937721571326256,0.4605020686984062,0.5333176383823156,0.040493792,0.1419903099536895,0.060863536,0.076104664,0.091324454,0.1203282330334186,0.8107551869571209,0.8310819215714932,0.9194128739237786,0.053892398,0.095947804,0.09459536,0.99455786,CELL_i00011_k01_seed998773803_void_mask.tif,11,1,0.138977,13.898,0.019556756,7.569882613852135e-05,-0.022723979,-0.77653403,0.0025,0.0072,0.0115,0.0144,0.0169,0.0197,0.0225,0.0248,0.0275,0.0313,0.0419,0.003485191,0.03289541,0.005455573,0.046887567,0.007425954,0.050825708,0.009396336,0.05312824,0.011366718,0.028869126,0.0133371,0.084034343,0.015307481,0.080085634,0.017277863,0.079588926,0.019248245,0.060291949,0.021218626,0.069400894,0.023189008,0.090404083,0.02515939,0.072311102,0.027129772,0.072671997,0.029100153,0.044483512,0.031070535,0.057539816,0.033040917,0.040265875,0.035011299,0.018975207,0.03698168,0.009308168,0.038952062,0.005578245,0.040922444,0.002454198
