Porosity,Mean,Variance,Skew,Kurtosis,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,Unnamed: 15,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.159887,0.021900896,7.235145120106887e-05,-0.057779967,-0.816059933,0.0109,0.0138,0.0165,0.0198,0.0221,0.0244,0.0274,0.0302,0.0331,0.0415,,0.39191782731280156,0.46133661719779834,0.6751404910424246,0.043098745775882935,0.12081920495822296,0.06326392735448537,0.07537512750344207,0.09384861798380247,0.12303684080236164,0.9389886510363255,0.8580678455504062,0.874383445391855,0.06938574952767818,0.08975576133345257,0.07910041114285402
0.156643,0.019351934,7.010060873801408e-05,-0.034054654,-0.760573297,0.0074,0.0117,0.0141,0.0172,0.0197,0.0219,0.0246,0.027,0.0303,0.0402,,0.40092227915335504,0.4238430430303527,0.5798191242163865,0.04041972411326822,0.13754501483190407,0.07853414615138392,0.10162519750652045,0.08106854886937434,0.11107165722254558,0.9317853585098074,0.8079144551228102,0.9570308161876079,0.0673446846652571,0.08273293535312141,0.07496244925562301
0.170658,0.022313049,7.657815380086101e-05,0.086274599,-0.497607705,0.0105,0.0138,0.0168,0.0196,0.0223,0.0251,0.0276,0.0301,0.0334,0.0476,,0.40509627977615986,0.46046064393031194,0.7544053476912135,0.03576238921526641,0.11311982729511094,0.0638223681048477,0.0865633635315427,0.10065577172990366,0.12939008998691157,0.8243144409940214,0.9386651922287607,0.8687325765983984,0.09028973683642544,0.07280751220789096,0.0643752996121435
0.159706,0.021239714,7.869483642147283e-05,0.077556192,-0.751754988,0.0098,0.0131,0.0156,0.0185,0.0214,0.0235,0.0262,0.0297,0.0334,0.0415,,0.3638171406653434,0.44086353091349023,0.5856226937296216,0.035720051189477124,0.1433149122541555,0.06230930578647994,0.09682623739247147,0.08759090111243734,0.10189209569323728,0.8643995065728649,0.9684017086081171,0.8245250742940554,0.08131017999401022,0.06435881103518735,0.07682017227524378
0.155854,0.023297331,0.000104679,-0.018935041,-0.736927542,0.0095,0.0135,0.017,0.0202,0.0233,0.0264,0.03,0.033,0.0367,0.0482,,0.3903579056015508,0.44589650404003905,0.5877091229477783,0.041418635178219775,0.12621692880535906,0.07188443628189312,0.08591096177922972,0.08784888144746147,0.11863159807699077,0.8137028938690462,0.9794441584818686,0.8084344101403668,0.06562167186082686,0.07099233198887285,0.0649959542109209
0.168915,0.02416885,9.574447535839792e-05,0.021073923,-0.803865995,0.0108,0.0147,0.0179,0.0216,0.0242,0.0271,0.0302,0.0334,0.0372,0.0465,,0.3514773597360867,0.4393151545869517,0.7809887550878656,0.035504381224559386,0.11802195163270211,0.06934305712475262,0.10120542258958647,0.11683700778269052,0.1324613362677486,0.8735316265648033,0.8553330549369764,0.8690819563401523,0.07018580436189092,0.06655127272136148,0.08132831329758844
0.169237,0.022688874,0.000104464,0.015589956,-0.799736651,0.0091,0.013,0.0165,0.0195,0.0225,0.0256,0.0288,0.0323,0.037,0.0491,,0.36250426416000836,0.4782203365433607,0.792904949975741,0.040780784951674254,0.11883969364909726,0.05377067818560377,0.06701718746417608,0.0843467887116888,0.10689072320019334,0.8952618872280753,0.891396319710577,0.8301078831973169,0.06517971426750331,0.0732304490919448,0.08763614919670784
0.157203,0.020896848,8.698690965096188e-05,0.044186583,-0.696123766,0.008,0.0117,0.0157,0.0183,0.0209,0.0234,0.0262,0.0292,0.0337,0.0437,,0.4163356991760915,0.4500433264158673,0.7348499797903328,0.04035556881272903,0.12807826673312966,0.050501569312014265,0.07505515206822988,0.0847421675258354,0.1052440764788442,0.9345624196106985,0.9578634353534852,0.9600123553274046,0.05246757278840711,0.05397314706625212,0.07648692752206279
0.167221,0.022284587,8.643333355395567e-05,0.025984553,-0.76926102,0.0095,0.0134,0.0165,0.02,0.0225,0.025,0.0277,0.0311,0.0346,0.0461,,0.3609718875295313,0.4344905345976732,0.5627614602249121,0.04293938882581727,0.13851625840746407,0.08349531905907652,0.07756444452923354,0.09422330719610437,0.13217962504235795,0.931342092436776,0.8451270989659114,0.8339872342871205,0.05195177542516454,0.09532977637940676,0.09697268630884034
0.187305,0.022294724,8.674318824545382e-05,-0.099729555,-0.812041369,0.0089,0.0138,0.0166,0.0197,0.0227,0.0251,0.028,0.0314,0.0345,0.0419,,0.3526038159599534,0.45001051212767845,0.6661452340134516,0.03740774697524961,0.12786142363548839,0.05526190667878579,0.06558325254034092,0.1171035816582814,0.11151967099220349,0.9650449602695493,0.9002479401809532,0.8892869813564982,0.055971592816082924,0.09715003558983412,0.09205709311220583
0.184276,0.024911922,7.285041145816044e-05,-0.120036827,-0.512808758,0.0132,0.0169,0.0205,0.0228,0.0251,0.0275,0.0298,0.0324,0.0361,0.046,,0.3522147711451424,0.43249256586715124,0.6295943894951804,0.04847860491195492,0.11752162197762803,0.07262291271215668,0.09303627559747531,0.08360793183838724,0.11365177247554738,0.9725079688193515,0.8619134955882249,0.832475890004864,0.08878953271407584,0.0888635589137515,0.09901206583151051
0.180138,0.02436327,8.076634793799415e-05,0.01608279,-0.609851204,0.012,0.0164,0.0193,0.0218,0.0242,0.0268,0.0295,0.0326,0.0363,0.0455,,0.40871078034191277,0.40980729608079103,0.6200735330059431,0.03591692363842498,0.13727857061027102,0.06552243469163312,0.09798011116838552,0.11000176553189314,0.10209109417433392,0.9561334187918094,0.8177872967285296,0.9751779758218964,0.06216009287135001,0.08877335657680563,0.08140888688160713
0.177928,0.028752906,0.000133829,0.3515262400349626,-0.171767122,0.014,0.0189,0.022,0.0249,0.0279,0.0312,0.0347,0.0385,0.0437,0.0609,,0.4123266004642678,0.4205880100836165,0.9014887153468258,0.04257605265609632,0.143350510039358,0.06365541882404925,0.10070026968396988,0.09073129100249494,0.10679994210831852,0.945995570724923,0.9770359324782965,0.8852376206035112,0.08856952964569191,0.08028401628955567,0.08574617601678561
0.182049,0.023898969,0.000117338,0.1140834289716865,-0.560536818,0.0098,0.0139,0.0173,0.0206,0.0239,0.0268,0.0299,0.0336,0.0383,0.0534,,0.3622167836094704,0.40851606688588765,0.5799164267439454,0.046817553777951985,0.13732892219591622,0.07006591539381185,0.10210263649617199,0.09404761796457463,0.12151910576550426,0.8339921702348599,0.8610264065725066,0.8155272367158082,0.08550329685679514,0.08972982944359255,0.09680120327347097
0.181412,0.023522787,8.192777196055779e-05,-0.05501298,-0.800455499,0.0106,0.0152,0.018,0.0207,0.0237,0.0263,0.029,0.032,0.0359,0.0432,,0.37936801006245296,0.49335373111616204,0.8555511802915672,0.048356148742875985,0.1237118230629957,0.07241856465733224,0.10405819594914972,0.1055224927104936,0.13275848068412432,0.9578992451621526,0.8491175315061973,0.9675066236048145,0.05712990943391404,0.08753981786609324,0.07728050592318103
