Porosity,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Input13,Input14,Input15
0.167641,0.025404972,0.000101784,0.053497055,-0.739924041,0.005,0.0111,0.0152,0.0203,0.022,0.0257,0.0283,0.0312,0.0346,0.0388,0.0485,,0.3848,0.4421,0.7826,0.046,0.127,0.0554,0.0874,0.0968,0.1068,0.9288,0.9074,0.828,0.0397,0.0287,0.0523
0.14634,0.018396306,7.01E-05,0.073104984,-0.902672665,0.005,0.0064,0.0107,0.0129,0.016,0.0186,0.021,0.0233,0.0263,0.0303,0.0381,,0.4239,0.4179,0.5406,0.0366,0.1413,0.0616,0.08,0.1066,0.1323,0.8045,0.8074,0.893,0.0521,0.0483,0.0354
0.073175,0.016531149,5.88E-05,0.098717943,-0.977280072,0.005,0.0059,0.0099,0.0115,0.0152,0.0162,0.0194,0.0207,0.025,0.0269,0.0335,,0.4338,0.4788,0.7746,0.0477,0.1492,0.0738,0.0988,0.11,0.1162,0.9399,0.8093,0.8699,0.0471,0.0291,0.0336
0.215133,0.022469736,0.000105696,0.182850771,-0.663292308,0.005,0.0099,0.012,0.0159,0.0194,0.022,0.0247,0.0279,0.0318,0.0366,0.051,,0.3631,0.4151,0.5028,0.0401,0.127,0.0623,0.074,0.0937,0.108,0.9947,0.8119,0.8866,0.0346,0.0462,0.0412
0.133806,0.018293339,7.46E-05,0.200618262,-0.714774104,0.005,0.0065,0.0105,0.0122,0.0154,0.0178,0.0209,0.0231,0.0255,0.0302,0.0424,,0.3642,0.4941,0.6462,0.0409,0.1191,0.0539,0.0743,0.0863,0.1024,0.9891,0.807,0.9205,0.0381,0.0216,0.0512
0.074231,0.014780797,4.56E-05,0.111905839,-0.975438098,0.005,0.0057,0.0091,0.0106,0.0117,0.0151,0.0164,0.02,0.0212,0.0243,0.032,,0.4205,0.4934,0.7988,0.0457,0.1244,0.0567,0.0693,0.0954,0.111,0.8459,0.9467,0.9176,0.0553,0.0263,0.043
0.122348,0.017237584,6.13E-05,0.069769231,-0.919567329,0.005,0.0061,0.0107,0.0122,0.015,0.0169,0.0205,0.0217,0.0254,0.0277,0.0357,,0.3976,0.4755,0.6866,0.0454,0.1211,0.0588,0.0628,0.0923,0.1009,0.9521,0.913,0.8189,0.0382,0.0595,0.0569
0.15958,0.021373742,6.14E-05,-0.089210581,-0.749679529,0.005,0.0108,0.0152,0.0165,0.0202,0.0212,0.0249,0.0262,0.029,0.032,0.0381,,0.4062,0.4235,0.765,0.0427,0.1488,0.0637,0.0888,0.0949,0.1167,0.8017,0.9702,0.8302,0.0441,0.0436,0.029
0.152375,0.02672323,8.49E-05,-0.227799271,-0.45711208,0.005,0.0141,0.0196,0.0212,0.0243,0.0262,0.0298,0.0321,0.0351,0.0391,0.0461,,0.3919,0.4503,0.8857,0.0487,0.1135,0.0669,0.0815,0.0894,0.103,0.8223,0.8289,0.926,0.0515,0.0252,0.0599
0.115932,0.029084355,0.000120656,0.01853055,-0.277885261,0.005,0.0143,0.0194,0.0231,0.0256,0.029,0.0322,0.0351,0.038,0.0443,0.0579,,0.3854,0.4893,0.9498,0.0476,0.1252,0.0668,0.0851,0.0944,0.1029,0.9212,0.9337,0.8161,0.03,0.0294,0.0526
0.072373,0.019614281,5.70E-05,0.02476096,-0.664709828,0.005,0.0102,0.0112,0.0152,0.0169,0.0198,0.0213,0.0242,0.0262,0.0299,0.0364,,0.4252,0.4972,0.9121,0.0447,0.1304,0.0674,0.0874,0.0935,0.1212,0.8359,0.8955,0.8819,0.059,0.047,0.0434
0.151875,0.027165509,9.12E-05,-0.185014055,-0.373897452,0.005,0.0148,0.0191,0.0216,0.0249,0.0271,0.0305,0.032,0.0358,0.0398,0.0502,,0.4077,0.4285,0.8992,0.0367,0.1394,0.0643,0.0863,0.1,0.1263,0.8379,0.8818,0.802,0.0418,0.0581,0.0424
0.1839,0.029081878,0.000140621,0.370250102,0.064871508,0.005,0.0144,0.0199,0.0222,0.025,0.0285,0.0322,0.0359,0.0387,0.0435,0.0644,,0.3564,0.4541,0.8085,0.0446,0.1327,0.0622,0.0703,0.0803,0.1061,0.8906,0.8763,0.8459,0.0543,0.0545,0.0425
0.078636,0.014192233,4.49E-05,0.234425712,-0.845535514,0.005,0.0056,0.0063,0.01,0.011,0.0143,0.0153,0.0184,0.0211,0.023,0.0308,,0.421,0.4911,0.5722,0.0369,0.1179,0.0524,0.0779,0.085,0.1046,0.9911,0.917,0.9268,0.0457,0.0417,0.0355
0.142882,0.022704283,0.000132222,0.594326323,0.466525504,0.005,0.008,0.0128,0.0154,0.0199,0.0219,0.0252,0.0283,0.0322,0.037,0.0634,,0.4183,0.4239,0.5821,0.0485,0.1373,0.0572,0.0862,0.108,0.1195,0.9576,0.9576,0.9896,0.046,0.03,0.0224
0.135329,0.068373817,0.001885193,0.353416008,-1.006022581,0.005,0.0151,0.0236,0.0353,0.0505,0.0658,0.0797,0.0906,0.1093,0.1392,0.1812,,0.358,0.4962,0.8705,0.0439,0.146,0.0695,0.0761,0.1161,0.1293,0.9493,0.9673,0.8263,0.0372,0.0202,0.0368
0.12986,0.021238691,6.25E-05,-0.007429384,-0.694947547,0.005,0.0105,0.014,0.0159,0.0199,0.0215,0.0237,0.0253,0.0286,0.032,0.0394,,0.4287,0.4334,0.8208,0.0457,0.1297,0.0701,0.0861,0.0948,0.1097,0.8127,0.9189,0.8028,0.0561,0.0414,0.0415
0.13547,0.022085462,8.71E-05,0.282042605,-0.390272452,0.005,0.0104,0.0142,0.0159,0.0191,0.021,0.0243,0.0268,0.0305,0.0352,0.0502,,0.3889,0.4697,0.8002,0.044,0.1285,0.0545,0.0871,0.1017,0.114,0.9992,0.8184,0.9932,0.0301,0.0519,0.0292
0.078058,0.01710785,6.69E-05,0.155769724,-0.914396933,0.005,0.0061,0.0102,0.0112,0.0152,0.0164,0.0201,0.0213,0.0253,0.0284,0.0377,,0.4213,0.4924,0.6963,0.0441,0.1239,0.0662,0.074,0.0918,0.1146,0.979,0.9061,0.9325,0.0546,0.0326,0.0275
0.104901,0.022649257,8.88E-05,0.315282053,-0.243734076,0.005,0.0106,0.0146,0.0163,0.0195,0.0216,0.0246,0.0269,0.0311,0.0354,0.05,,0.4057,0.4818,0.8862,0.0358,0.1417,0.061,0.0641,0.0909,0.1248,0.9499,0.9422,0.9054,0.0433,0.0392,0.0402
0.196793,0.023093423,9.26E-05,0.092458171,-0.701796982,0.005,0.0112,0.0138,0.0167,0.0202,0.0226,0.0258,0.0283,0.0322,0.0357,0.0458,,0.3743,0.4234,0.6534,0.042,0.1277,0.0603,0.0768,0.0775,0.1024,0.863,0.9438,0.9987,0.0282,0.0525,0.0441
0.104861,0.016068616,5.45E-05,0.135871568,-0.916648256,0.005,0.0059,0.0097,0.0112,0.0148,0.0157,0.0182,0.0209,0.0226,0.0258,0.0328,,0.3972,0.4916,0.7473,0.0433,0.1115,0.0632,0.0677,0.0818,0.0978,0.8408,0.8607,0.9913,0.0399,0.0305,0.0202
0.131649,0.015833442,3.77E-05,-0.043430796,-0.8248583,0.005,0.0062,0.0105,0.0111,0.0152,0.0159,0.0173,0.0204,0.0211,0.0251,0.03,,0.4368,0.4256,0.7727,0.0357,0.1101,0.0475,0.0763,0.0819,0.0989,0.9211,0.8177,0.8185,0.0335,0.0469,0.0524
0.167688,0.020405842,7.25E-05,0.021214,-0.87043478,0.005,0.0092,0.0115,0.0146,0.0173,0.0209,0.0225,0.0257,0.0281,0.0318,0.0391,,0.4148,0.4086,0.6872,0.0367,0.1254,0.0556,0.0689,0.0849,0.1092,0.9101,0.863,0.8933,0.0248,0.0587,0.0407
0.123002,0.02185376,0.000166964,1.265907219,2.515449372,0.005,0.0078,0.0104,0.0131,0.0166,0.0198,0.0225,0.0266,0.0314,0.0373,0.0725,,0.4007,0.4677,0.6977,0.043,0.1303,0.059,0.079,0.0833,0.1143,0.9519,0.9834,0.8449,0.0204,0.0333,0.0274
0.131716,0.017338875,7.04E-05,0.214243969,-0.837888062,0.005,0.0062,0.0094,0.0114,0.0145,0.0164,0.0196,0.0218,0.0253,0.029,0.04,,0.3657,0.4987,0.5824,0.0404,0.1114,0.0496,0.0693,0.0826,0.0994,0.885,0.8478,0.9843,0.0395,0.0439,0.0441
0.091308,0.019277529,6.18E-05,0.083852862,-0.706507839,0.005,0.0102,0.0112,0.0153,0.0164,0.02,0.021,0.0247,0.0261,0.0301,0.0377,,0.4002,0.4956,0.8614,0.0483,0.1335,0.0632,0.0704,0.0989,0.123,0.9566,0.863,0.9315,0.047,0.0279,0.0573
0.225634,0.039704725,0.000521744,0.81128494,-0.206630742,0.005,0.0154,0.0202,0.0242,0.0282,0.0337,0.04,0.047,0.0603,0.0766,0.0955,,0.3564,0.4062,0.7491,0.0397,0.1321,0.067,0.0695,0.0971,0.1214,0.8124,0.908,0.8458,0.0249,0.0345,0.0439
0.158844,0.017876178,4.52E-05,0.045955499,-0.530647118,0.005,0.01,0.0109,0.0146,0.0155,0.0177,0.0199,0.0213,0.0241,0.0264,0.0364,,0.3833,0.4516,0.8005,0.0352,0.1326,0.0449,0.073,0.0806,0.1104,0.9771,0.8012,0.826,0.0422,0.0263,0.0319
0.136161,0.073777609,0.001835083,-0.135712266,-1.385181778,0.005,0.0121,0.0243,0.0428,0.0613,0.0757,0.0912,0.1093,0.1242,0.1279,0.1311,,0.3739,0.4813,0.6154,0.0418,0.1447,0.0488,0.0835,0.0934,0.1259,0.858,0.8345,0.8517,0.0245,0.0282,0.0448
0.097439,0.017138474,6.45E-05,0.091209336,-0.989868506,0.005,0.0061,0.0101,0.011,0.0149,0.0161,0.0197,0.0216,0.0253,0.028,0.0364,,0.4046,0.4925,0.6646,0.0457,0.1236,0.0601,0.0675,0.0791,0.1107,0.8161,0.8735,0.8078,0.0291,0.0582,0.0307
0.161684,0.065597272,0.002523451,0.616325793,-1.014545446,0.005,0.0127,0.0189,0.0258,0.0362,0.05,0.0666,0.0866,0.1282,0.1465,0.1789,,0.3609,0.4685,0.5431,0.0487,0.1351,0.0567,0.0782,0.0991,0.1154,0.8441,0.8477,0.8019,0.0379,0.0306,0.0296
0.199537,0.027177638,8.04E-05,-0.262603851,-0.376145249,0.005,0.0146,0.02,0.0219,0.0248,0.027,0.0305,0.0328,0.0353,0.0385,0.0464,,0.3657,0.4237,0.8359,0.041,0.1407,0.0602,0.0764,0.0947,0.1183,0.9853,0.8766,0.8316,0.0555,0.0265,0.0578
0.123422,0.017224059,6.06E-05,0.048260127,-0.952119233,0.005,0.0061,0.0107,0.0121,0.0148,0.0166,0.0204,0.0214,0.025,0.0272,0.035,,0.4448,0.4209,0.6156,0.0452,0.1237,0.0596,0.0907,0.095,0.1112,0.884,0.8054,0.9225,0.0303,0.0504,0.0205
