,RVE_ID,,Porosity,,Mean,Variance,Skew,Kurtosis,P0,P10,P20,P30,P40,P50,P60,P70,P80,P90,P100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELL_i03361_k01_seed2047209988_void_mask.tif,3361,1,0.112665,11.267,0.01904538,7.29E-05,0.116379645,-0.8023663,0.005,0.0067,0.0108,0.0141,0.0158,0.0193,0.0208,0.0248,0.0266,0.031,0.0403,0.00588278,0.101179045,0.00764835,0.01047016,0.00941391,0.06097592,0.01117948,0.08952617,0.01294504,0.01864592,0.014710604,0.110424343,0.016476169,0.07060954,0.01824173,0.026838325,0.020007298,0.11589519,0.021772862,0.054728438,0.02353843,0.015696926,0.02530399,0.114832308,0.027069556,0.042854781,0.02883512,0.027951134,0.030600684,0.05574472,0.03236625,0.038209388,0.034131813,0.020711776,0.03589738,0.01226641,0.03766294,0.00707959,0.03942851,0.0053599
CELL_i03362_k01_seed1354473388_void_mask.tif,3362,1,0.096372,9.637,0.017285843,6.52E-05,0.139984646,-0.8778105,0.005,0.0062,0.0104,0.0113,0.0154,0.0166,0.0202,0.0213,0.0253,0.0285,0.0377,0.00581873,0.140712916,0.00745619,0.014047166,0.00909365,0.00052531,0.010731105,0.165576271,0.012368564,0.02041314,0.014006022,0.00896269,0.01564348,0.143768791,0.017280939,0.05799547,0.018918398,0.00720387,0.020555856,0.148204738,0.02219331,0.04440228,0.023830773,0.0127968,0.025468232,0.0897981,0.027105691,0.03622561,0.02874315,0.02529138,0.03038061,0.04031653,0.03201807,0.025509291,0.03365552,0.00812479,0.03529298,0.00835437,0.03693044,0.00177049
CELL_i03363_k01_seed710059374_void_mask.tif,3363,1,0.202439,20.244,0.02711575,8.47E-05,-0.2457519,-0.3170564,0.005,0.0148,0.0206,0.0224,0.0249,0.0269,0.0303,0.0327,0.0353,0.0388,0.0495,0.00611244,0.0291292,0.00833731,2.90E-05,0.01056218,0.04146812,0.012787058,0.00252854,0.015011932,0.06692522,0.017236806,0.030052318,0.01946168,0.027558353,0.021686553,0.123767142,0.023911427,0.08420762,0.026136301,0.109906151,0.02836117,0.04854249,0.030586048,0.09999759,0.03281092,0.08141665,0.0350358,0.08918012,0.03726067,0.05579901,0.03948554,0.04588613,0.04171042,0.04061231,0.04393529,0.00730715,0.046160165,0.00978568,0.04838504,0.00590117
CELL_i03364_k01_seed257272772_void_mask.tif,3364,1,0.180662,18.066,0.031361743,0.00012134,-0.2291287,-0.2907445,0.005,0.016,0.0218,0.0253,0.0287,0.0317,0.0348,0.0377,0.0409,0.0457,0.0572,0.00630569,0.027420027,0.00891707,0.016614613,0.011528452,0.02043944,0.014139833,0.03112585,0.016751214,0.019717788,0.01936259,0.0644976,0.02197398,0.046997358,0.024585356,0.09648418,0.027196737,0.06872304,0.02980812,0.09112748,0.0324195,0.07482907,0.03503088,0.104548971,0.03764226,0.07130798,0.04025364,0.09028613,0.04286502,0.039951733,0.045476403,0.06216106,0.048087783,0.027761134,0.05069916,0.028700043,0.05331055,0.00779911,0.05592193,0.00950741
CELL_i03365_k01_seed346527478_void_mask.tif,3365,1,0.098883,9.888,0.018794905,7.19E-05,0.07789945,-0.8412688,0.005,0.0065,0.0104,0.0137,0.0154,0.0193,0.0214,0.0241,0.0265,0.0302,0.0391,0.00585128,0.112209206,0.00755384,0.010817036,0.00925641,0.05985713,0.010958969,0.08827824,0.012661531,0.01568894,0.014364093,0.10601504,0.016066656,0.06267737,0.017769218,0.028534878,0.019471781,0.038904416,0.021174343,0.127599811,0.022876906,0.035152522,0.024579468,0.05960557,0.026282031,0.0895196,0.027984593,0.03691343,0.029687156,0.036453297,0.031389718,0.03774396,0.03309228,0.015380492,0.03479484,0.022023419,0.03649741,0.01075004,0.038199968,0.00587561
CELL_i03366_k01_seed1854125438_void_mask.tif,3366,1,0.162982,16.298,0.02444015,0.00011943,0.07963356,-0.6373534,0.005,0.0104,0.015,0.0185,0.0212,0.0251,0.0276,0.0309,0.0343,0.039,0.0532,0.00620377,0.07545678,0.0086113,0.00028147,0.011018841,0.0933084,0.013426378,0.014254609,0.015833914,0.103992073,0.018241451,0.021349701,0.02064899,0.127940214,0.023056524,0.026892478,0.02546406,0.10939373,0.027871597,0.07296341,0.03027913,0.07261291,0.03268667,0.07078143,0.03509421,0.06808405,0.03750174,0.03684984,0.03990928,0.04169316,0.042316816,0.0218789,0.04472435,0.018029557,0.04713189,0.01205115,0.04953943,0.00741108,0.051946962,0.00477506
CELL_i03367_k01_seed866350453_void_mask.tif,3367,1,0.177086,17.709,0.020544952,7.27E-05,-0.0649816,-0.8348514,0.005,0.0089,0.0114,0.0146,0.0184,0.0209,0.0232,0.0256,0.0284,0.0322,0.0384,0.00583514,0.07530891,0.00750543,0.00828907,0.00917572,0.0505497,0.010846002,0.07651877,0.01251629,0.013828762,0.014186575,0.09741615,0.015856862,0.05306402,0.017527148,0.02423898,0.019197435,0.03791527,0.020867721,0.120220091,0.02253801,0.04669775,0.024208294,0.07479927,0.02587858,0.06093168,0.02754887,0.06078768,0.02921915,0.04791962,0.03088944,0.03993337,0.032559726,0.04254016,0.03423001,0.027285529,0.0359003,0.028419162,0.037570585,0.013336063
CELL_i03368_k01_seed1852118164_void_mask.tif,3368,1,0.155547,15.555,0.018239548,6.91E-05,0.21939482,-0.5810816,0.005,0.0066,0.0107,0.0123,0.0153,0.0184,0.0207,0.0226,0.0257,0.0294,0.0418,0.00592083,0.111898744,0.00776248,0.012604721,0.00960413,0.06358533,0.011445775,0.116257559,0.01328743,0.00743908,0.015129075,0.145416775,0.01697073,0.034889804,0.018812375,0.02804782,0.020654025,0.153291411,0.02249568,0.04643054,0.024337325,0.061277348,0.02617898,0.08476464,0.02802063,0.027542341,0.029862275,0.024628428,0.03170393,0.04110738,0.03354558,0.01095731,0.03538723,0.011472426,0.037228875,0.00921748,0.03907053,0.00409362,0.04091218,0.00507725
CELL_i03369_k01_seed1513303428_void_mask.tif,3369,1,0.203573,20.357,0.02292835,9.57E-05,0.07273432,-0.6608315,0.005,0.01,0.014,0.0171,0.0207,0.0232,0.0259,0.0284,0.0315,0.0362,0.0482,0.00608046,0.06591665,0.00824137,0.00027509,0.010402282,0.108180895,0.012563195,0.011541293,0.014724107,0.08378244,0.01688502,0.05248169,0.019045933,0.044412733,0.021206846,0.120993229,0.023367758,0.03015252,0.02552867,0.120322709,0.027689584,0.0744449,0.029850497,0.07328132,0.03201141,0.05633718,0.03417232,0.039892864,0.036333235,0.0427174,0.03849415,0.0218619,0.04065506,0.030983914,0.042815973,0.01277979,0.044976886,0.00473539,0.0471378,0.00490609
CELL_i03370_k01_seed1296606424_void_mask.tif,3370,1,0.168153,16.815,0.02417291,0.0001182,0.213711895,-0.5449582,0.005,0.0098,0.0132,0.017,0.0211,0.0234,0.0264,0.0305,0.0346,0.0384,0.0552,0.00625567,0.0623228,0.00876701,0.04095681,0.01127835,0.07684011,0.01378969,0.08054061,0.01630103,0.051714884,0.018812371,0.04000009,0.021323711,0.121686235,0.023835051,0.07696202,0.02634639,0.09054565,0.028857731,0.04554267,0.031369071,0.07816033,0.033880412,0.04440382,0.036391752,0.07904346,0.03890309,0.03603494,0.041414432,0.03369332,0.04392577,0.017293056,0.046437112,0.00740175,0.04894845,0.00659148,0.05145979,0.00252821,0.05397113,0.00773776
