Quantifying_Parameter,Input_Parameter,2D_KL_Score
P20,Input2,3.4385870641294587
P20,Input3,4.023001608973383
P20,Input4,3.4978155079635997
P20,Input5,4.666021307066173
P20,Input6,4.485636512904405
P20,Input7,4.171247356661067
P20,Input8,3.1553833133089193
P20,Input9,3.6751243838450014
P20,Input10,3.5107049037230156
P20,Input11,3.6739648853201334
P20,Input12,3.6312396851738935
P20,Input13,4.429891834468819
P20,Input14,3.7266135778326355
P20,Input15,3.86787951061648
P30,Input1,4.004309070431805
P30,Input2,3.3867245784187054
P30,Input3,4.0726058096862525
P30,Input4,3.8658844930261775
P30,Input5,4.679708158239885
P30,Input6,4.795243792958898
P30,Input7,4.267643140668953
P30,Input8,3.489831927072413
P30,Input9,3.636830529866743
P30,Input10,3.7546917237723556
P30,Input11,3.433524692269368
P30,Input12,3.7753607091441808
P30,Input13,4.164186325516112
P30,Input14,3.7503579788999755
P30,Input15,4.7015029024613675
P40,Input1,3.38467347821164
P40,Input2,3.257085006700576
P40,Input3,3.543567555629423
P40,Input4,3.6057492257567727
P40,Input5,4.282721782517484
P40,Input6,3.8629833012689647
P40,Input7,3.9911438266493464
P40,Input8,3.368587427995247
P40,Input9,3.384943880169442
P40,Input10,3.311677065649757
P40,Input11,3.3048321099049636
P40,Input12,3.27258235983939
P40,Input13,3.774455452259125
P40,Input14,3.297928739862417
P40,Input15,3.77061684739384
P50,Input1,3.342960167501563
P50,Input2,3.4332752276717255
P50,Input3,3.413076587543239
P50,Input4,3.7417126738265054
P50,Input5,4.7208885800812865
P50,Input6,4.127164868516125
P50,Input7,3.9939699738960837
P50,Input8,3.4041650667507666
P50,Input9,3.5531920215161
P50,Input10,3.3803315841900314
P50,Input11,3.4451343819848605
P50,Input12,3.39773956451593
P50,Input13,3.744338941179871
P50,Input14,3.4759558762831975
P50,Input15,4.293454136946238
P60,Input1,3.052933343551885
P60,Input2,3.0297160934357725
P60,Input3,3.115807428165043
P60,Input4,3.3875550022503624
P60,Input5,4.344184122717794
P60,Input6,4.185276435497722
P60,Input7,3.8762375318975173
P60,Input8,3.198916621317529
P60,Input9,3.43437668544731
P60,Input10,3.2972677528657006
P60,Input11,3.1095014840731663
P60,Input12,3.052307489184417
P60,Input13,3.6202518826816994
P60,Input14,3.2818924759522012
P60,Input15,3.7370599655562313
P70,Input1,3.0171883761178178
P70,Input2,2.8985657304756414
P70,Input3,3.153004260033672
P70,Input4,3.313798203657176
P70,Input5,4.2510304700994235
P70,Input6,3.850142720946125
P70,Input7,3.6841601674369713
P70,Input8,3.083022994423733
P70,Input9,3.035860149850662
P70,Input10,3.041698654638293
P70,Input11,3.2874322890348853
P70,Input12,2.9742983649759607
P70,Input13,3.5728118563046536
P70,Input14,2.8283079274238925
P70,Input15,3.6249638395090384
P80,Input1,3.1003908881021744
P80,Input2,3.1582411025191393
P80,Input3,3.1934739933098872
P80,Input4,3.3249014489439572
P80,Input5,4.281338517853977
P80,Input6,3.6273608630858254
P80,Input7,3.5992550268430756
P80,Input8,3.0524733608042034
P80,Input9,3.135228516600571
P80,Input10,3.2518696152072835
P80,Input11,3.091804786095377
P80,Input12,2.713078177166697
P80,Input13,3.6767283280736534
P80,Input14,3.0607659324356593
P80,Input15,3.7736859743974085
P90,Input1,3.2399141026002547
P90,Input2,2.9982549303829877
P90,Input3,2.8783236413914395
P90,Input4,3.181529046364112
P90,Input5,4.310879530689499
P90,Input6,3.4706856043605265
P90,Input7,3.462400429917535
P90,Input8,2.8172370087327603
P90,Input9,3.1389686228974245
P90,Input10,2.861190543157192
P90,Input11,3.1498355033271146
P90,Input12,2.772591698366768
P90,Input13,3.8004087404991167
P90,Input14,2.803674567408158
P90,Input15,3.014788761071311
P100,Input1,2.5061642428297652
P100,Input2,2.427677028439746
P100,Input3,2.368955636775122
P100,Input4,2.80960389541614
P100,Input5,3.396490614129824
P100,Input6,3.1203975688168857
P100,Input7,3.2062173137871004
P100,Input8,2.693082043549321
P100,Input9,2.8155772037299163
P100,Input10,2.3026068493259175
P100,Input11,2.546039482885683
P100,Input12,2.187153689402403
P100,Input13,3.0686878031781397
P100,Input14,2.417114181115516
P100,Input15,2.6878744740809073
